,"['Accurate Color Representation', 'Blue/Green Color Cast']_1","['Accurate Color Representation', 'Blue/Green Color Cast']_2","['Backlit Subjects', 'Frontlit Subjects']_1","['Backlit Subjects', 'Frontlit Subjects']_2","['Soft Focus', 'Sharp Detail']_1","['Soft Focus', 'Sharp Detail']_2","['Wide Angle', 'Macro']_1","['Wide Angle', 'Macro']_2","['Underexposed', 'Overexposed']_1","['Underexposed', 'Overexposed']_2","['Shallow Depth of Field', 'Deep Depth of Field']_1","['Shallow Depth of Field', 'Deep Depth of Field']_2","['High ISO Noise', 'Low ISO Clarity']_1","['High ISO Noise', 'Low ISO Clarity']_2","['Filtered Light', 'Direct Light']_1","['Filtered Light', 'Direct Light']_2","['Dynamic Movement', 'Static Calm']_1","['Dynamic Movement', 'Static Calm']_2","['Clarity', 'Murkiness']_1","['Clarity', 'Murkiness']_2","['Textured Surfaces', 'Smooth Surfaces']_1","['Textured Surfaces', 'Smooth Surfaces']_2","['Top-Down View', 'Eye-Level View']_1","['Top-Down View', 'Eye-Level View']_2","['Natural Ambient Light', 'Artificial Light']_1","['Natural Ambient Light', 'Artificial Light']_2","['Unaltered Colors', 'Color Enhanced']_1","['Unaltered Colors', 'Color Enhanced']_2","['Organic Shapes', 'Geometric Structures']_1","['Organic Shapes', 'Geometric Structures']_2","['Silhouetted', 'Illuminated Subjects']_1","['Silhouetted', 'Illuminated Subjects']_2","['Foreground Interest', 'Background Dominance']_1","['Foreground Interest', 'Background Dominance']_2"
./uieb_dataset/reference-890/296_img_.png,0.3174,0.6826,0.4302,0.57,0.962,0.0379,0.626,0.3738,0.2974,0.7026,0.3174,0.6826,0.0248,0.975,0.6074,0.3923,0.1442,0.856,0.967,0.03308,0.4187,0.5815,0.6406,0.3594,0.8057,0.1943,0.8774,0.1225,0.396,0.604,0.1422,0.858,0.95,0.0496
./uieb_dataset/reference-890/728_img_.png,0.396,0.604,0.725,0.2751,0.7373,0.263,0.923,0.07697,0.504,0.496,0.22,0.78,0.1646,0.8354,0.5737,0.4263,0.551,0.4495,0.8857,0.1144,0.4648,0.535,0.6406,0.3594,0.7056,0.2942,0.734,0.2659,0.539,0.461,0.09534,0.905,0.955,0.04468
./uieb_dataset/reference-890/144_img_.png,0.1294,0.8706,0.6,0.4,0.8335,0.1666,0.7124,0.2878,0.8335,0.1666,0.1919,0.808,0.04272,0.9575,0.4922,0.508,0.2451,0.755,0.9844,0.01543,0.63,0.37,0.7637,0.2366,0.82,0.18,0.6074,0.3923,0.331,0.669,0.699,0.3008,0.796,0.2043
./uieb_dataset/reference-890/620_img_.png,0.1052,0.895,0.2281,0.772,0.37,0.63,0.562,0.4377,0.2783,0.7217,0.03906,0.961,0.3208,0.679,0.2147,0.785,0.1993,0.801,0.8374,0.1624,0.4727,0.5273,0.604,0.396,0.6724,0.3276,0.5815,0.4187,0.1943,0.8057,0.231,0.769,0.655,0.3452
./uieb_dataset/reference-890/920_img_.png,0.1871,0.813,0.5815,0.4187,0.05835,0.942,0.2598,0.74,0.915,0.0851,0.2095,0.7905,0.2783,0.7217,0.2751,0.725,0.746,0.254,0.813,0.1871,0.11597,0.8843,0.7905,0.2095,0.693,0.3074,0.562,0.4377,0.655,0.3452,0.0901,0.9097,0.8823,0.11755
./uieb_dataset/reference-890/32_img_.png,0.3276,0.6724,0.2338,0.766,0.0321,0.968,0.8174,0.1824,0.4844,0.5156,0.1384,0.8613,0.0995,0.9004,0.596,0.4036,0.1023,0.8975,0.7983,0.2018,0.7983,0.2018,0.658,0.3416,0.9272,0.07263,0.5737,0.4263,0.2751,0.725,0.2422,0.758,0.829,0.171
./uieb_dataset/reference-890/245_img_.png,0.865,0.1348,0.3276,0.6724,0.82,0.18,0.314,0.686,0.7373,0.263,0.2783,0.7217,0.01116,0.989,0.6113,0.3887,0.0511,0.9487,0.9707,0.02931,0.496,0.504,0.461,0.539,0.902,0.0981,0.5,0.5,0.856,0.1442,0.2659,0.734,0.928,0.0716
./uieb_dataset/reference-890/532_img_.png,0.0336,0.9663,0.269,0.731,0.1404,0.86,0.731,0.269,0.5547,0.4456,0.03622,0.964,0.4111,0.589,0.3416,0.658,0.2974,0.7026,0.854,0.1461,0.3594,0.6406,0.662,0.3381,0.4377,0.562,0.504,0.496,0.12085,0.879,0.04742,0.9526,0.9097,0.0901
./uieb_dataset/reference-890/518_img_.png,0.1688,0.831,0.4148,0.585,0.1294,0.8706,0.752,0.248,0.6113,0.3887,0.03308,0.967,0.3108,0.6895,0.37,0.63,0.6514,0.3486,0.8916,0.1082,0.15,0.85,0.848,0.152,0.596,0.4036,0.385,0.615,0.22,0.78,0.8975,0.1023,0.231,0.769
./uieb_dataset/reference-890/187_img_.png,0.154,0.8457,0.272,0.728,0.655,0.3452,0.8354,0.1646,0.6655,0.3345,0.2255,0.7744,0.03568,0.9644,0.5156,0.4844,0.1848,0.8154,0.803,0.1968,0.749,0.251,0.626,0.3738,0.907,0.0927,0.7026,0.2974,0.254,0.746,0.331,0.669,0.964,0.03622
./uieb_dataset/reference-890/8010.png,0.3923,0.6074,0.3452,0.655,0.4302,0.57,0.604,0.396,0.604,0.396,0.15,0.85,0.1082,0.8916,0.3008,0.699,0.731,0.269,0.9604,0.03964,0.1052,0.895,0.973,0.02676,0.82,0.18,0.699,0.3008,0.5156,0.4844,0.02194,0.978,0.3557,0.644
./uieb_dataset/reference-890/556_img_.png,0.1052,0.895,0.496,0.504,0.562,0.4377,0.78,0.22,0.2878,0.7124,0.10376,0.8965,0.254,0.746,0.589,0.4111,0.749,0.251,0.9746,0.02556,0.504,0.496,0.63,0.37,0.874,0.126,0.829,0.171,0.6406,0.3594,0.0341,0.966,0.803,0.1968
./uieb_dataset/reference-890/848_img_.png,0.004467,0.9956,0.0981,0.902,0.0592,0.941,0.1871,0.813,0.3452,0.655,0.1242,0.876,0.02737,0.9727,0.4727,0.5273,0.0695,0.9307,0.2255,0.7744,0.8223,0.1779,0.9087,0.0914,0.772,0.2281,0.785,0.2147,0.808,0.1919,0.1699,0.83,0.9443,0.05582
./uieb_dataset/reference-890/2_img_.png,0.585,0.4148,0.254,0.746,0.01678,0.9834,0.8174,0.1824,0.7124,0.2878,0.07477,0.9253,0.08154,0.9185,0.248,0.752,0.07697,0.923,0.867,0.1329,0.655,0.3452,0.9497,0.05032,0.856,0.1442,0.585,0.4148,0.0666,0.9336,0.2227,0.7773,0.728,0.272
./uieb_dataset/reference-890/486_img_.png,0.57,0.4302,0.543,0.457,0.272,0.728,0.801,0.1993,0.3452,0.655,0.11127,0.8887,0.2394,0.7607,0.7637,0.2366,0.171,0.829,0.637,0.363,0.693,0.3074,0.7607,0.2394,0.824,0.1755,0.4302,0.57,0.7607,0.2394,0.3486,0.6514,0.881,0.1192
./uieb_dataset/reference-890/355_img_.png,0.2394,0.7607,0.6333,0.3667,0.269,0.731,0.2366,0.7637,0.22,0.78,0.154,0.8457,0.3486,0.6514,0.1896,0.8105,0.263,0.7373,0.5547,0.4456,0.251,0.749,0.461,0.539,0.5312,0.4688,0.6226,0.3774,0.4111,0.589,0.749,0.251,0.6406,0.3594
./uieb_dataset/reference-890/561_img_.png,0.2847,0.7153,0.3738,0.626,0.8965,0.10376,0.96,0.04025,0.504,0.496,0.1481,0.852,0.0716,0.928,0.3887,0.6113,0.7637,0.2366,0.916,0.08386,0.4226,0.5776,0.615,0.385,0.8975,0.1023,0.7124,0.2878,0.2147,0.785,0.4302,0.57,0.3923,0.6074
./uieb_dataset/reference-890/607_img_.png,0.696,0.304,0.539,0.461,0.615,0.385,0.662,0.3381,0.788,0.212,0.272,0.728,0.3108,0.6895,0.6514,0.3486,0.248,0.752,0.8965,0.10376,0.5547,0.4456,0.6724,0.3276,0.9263,0.07367,0.676,0.3242,0.3486,0.6514,0.0496,0.95,0.887,0.1128
./uieb_dataset/reference-890/323_img_.png,0.5234,0.4766,0.4226,0.5776,0.7153,0.2847,0.808,0.1919,0.3923,0.6074,0.044,0.956,0.2173,0.7827,0.5273,0.4727,0.566,0.434,0.9756,0.02443,0.3557,0.644,0.6724,0.3276,0.658,0.3416,0.5195,0.4805,0.0914,0.9087,0.709,0.291,0.4495,0.551
./uieb_dataset/reference-890/327_img_.png,0.3486,0.6514,0.4226,0.5776,0.2878,0.7124,0.3416,0.658,0.269,0.731,0.02443,0.9756,0.291,0.709,0.752,0.248,0.02518,0.9746,0.558,0.4417,0.5312,0.4688,0.6226,0.3774,0.4456,0.5547,0.4766,0.5234,0.10376,0.8965,0.879,0.12085,0.272,0.728
./uieb_dataset/reference-890/58_img_.png,0.04886,0.951,0.3345,0.6655,0.8613,0.1384,0.8374,0.1624,0.461,0.539,0.2783,0.7217,0.094,0.906,0.793,0.2069,0.04886,0.951,0.9033,0.0967,0.887,0.1128,0.539,0.461,0.734,0.2659,0.74,0.2598,0.3523,0.648,0.1582,0.842,0.9966,0.003538
./uieb_dataset/reference-890/527_img_.png,0.84,0.1603,0.2281,0.772,0.4072,0.593,0.867,0.1329,0.4036,0.596,0.094,0.906,0.0379,0.962,0.8774,0.1225,0.3381,0.662,0.9727,0.02759,0.3452,0.655,0.593,0.4072,0.743,0.2568,0.648,0.3523,0.648,0.3523,0.0863,0.9136,0.865,0.1348
./uieb_dataset/reference-890/526_img_.png,0.8726,0.1277,0.2069,0.793,0.3523,0.648,0.4302,0.57,0.231,0.769,0.0927,0.907,0.1404,0.86,0.766,0.2338,0.03568,0.9644,0.7217,0.2783,0.831,0.1688,0.4072,0.593,0.8223,0.1779,0.562,0.4377,0.3008,0.699,0.504,0.496,0.57,0.4302
./uieb_dataset/reference-890/806_img_.png,0.00514,0.9946,0.3452,0.655,0.4688,0.5312,0.1461,0.854,0.5737,0.4263,0.1242,0.876,0.0716,0.928,0.269,0.731,0.5195,0.4805,0.734,0.2659,0.5234,0.4766,0.8823,0.11755,0.699,0.3008,0.331,0.669,0.504,0.496,0.03516,0.965,0.955,0.04468
./uieb_dataset/reference-890/135_img_.png,0.15,0.85,0.504,0.496,0.604,0.396,0.669,0.331,0.8335,0.1666,0.2227,0.7773,0.0542,0.946,0.4688,0.5312,0.3345,0.6655,0.8267,0.1733,0.6,0.4,0.655,0.3452,0.7773,0.2227,0.7217,0.2783,0.1294,0.8706,0.457,0.543,0.9634,0.03677
./uieb_dataset/reference-890/46_img_.png,0.1192,0.881,0.3276,0.6724,0.562,0.4377,0.9727,0.02759,0.1871,0.813,0.03021,0.9697,0.3276,0.6724,0.585,0.4148,0.547,0.4534,0.937,0.0628,0.3738,0.626,0.4417,0.558,0.7983,0.2018,0.385,0.615,0.1384,0.8613,0.3738,0.626,0.644,0.3557
./uieb_dataset/reference-890/216_img_.png,0.04813,0.9517,0.4187,0.5815,0.11597,0.8843,0.269,0.731,0.955,0.04468,0.2751,0.725,0.0995,0.9004,0.2847,0.7153,0.2942,0.7056,0.5234,0.4766,0.831,0.1688,0.785,0.2147,0.803,0.1968,0.4688,0.5312,0.6187,0.381,0.1461,0.854,0.989,0.01133
./uieb_dataset/reference-890/284_img_.png,0.4263,0.5737,0.304,0.696,0.1294,0.8706,0.5547,0.4456,0.2161,0.784,0.09534,0.905,0.4844,0.5156,0.363,0.637,0.5273,0.4727,0.796,0.2043,0.1896,0.8105,0.6,0.4,0.7827,0.2173,0.3174,0.6826,0.1366,0.8633,0.496,0.504,0.1755,0.824
./uieb_dataset/reference-890/227_img_.png,0.2227,0.7773,0.593,0.4072,0.7026,0.2974,0.921,0.0792,0.907,0.0927,0.03845,0.9614,0.3108,0.6895,0.3345,0.6655,0.637,0.363,0.637,0.363,0.1824,0.8174,0.3557,0.644,0.6187,0.381,0.2451,0.755,0.4883,0.5117,0.8354,0.1646,0.728,0.272
./uieb_dataset/reference-890/7027.png,0.171,0.829,0.396,0.604,0.6074,0.3923,0.989,0.01099,0.3174,0.6826,0.0526,0.9473,0.2422,0.758,0.2783,0.7217,0.655,0.3452,0.856,0.1442,0.152,0.848,0.679,0.3208,0.8726,0.1277,0.6113,0.3887,0.396,0.604,0.4302,0.57,0.5117,0.4883
./uieb_dataset/reference-890/606_img_.png,0.1582,0.842,0.1848,0.8154,0.8965,0.10376,0.922,0.07806,0.7056,0.2942,0.1755,0.824,0.1968,0.803,0.7153,0.2847,0.05664,0.9434,0.74,0.2598,0.734,0.2659,0.669,0.331,0.9097,0.0901,0.693,0.3074,0.385,0.615,0.1896,0.8105,0.965,0.03516
./uieb_dataset/reference-890/105_img_.png,0.5547,0.4456,0.2394,0.7607,0.6187,0.381,0.9004,0.0995,0.4111,0.589,0.02931,0.9707,0.2095,0.7905,0.3242,0.676,0.22,0.78,0.9033,0.0967,0.1968,0.803,0.852,0.1481,0.6333,0.3667,0.5156,0.4844,0.04742,0.9526,0.1312,0.8687,0.4072,0.593
./uieb_dataset/reference-890/440_img_.png,0.5156,0.4844,0.331,0.669,0.9517,0.04813,0.743,0.2568,0.4883,0.5117,0.03114,0.9688,0.3381,0.662,0.263,0.7373,0.8843,0.11597,0.831,0.1688,0.1192,0.881,0.2227,0.7773,0.6655,0.3345,0.558,0.4417,0.3416,0.658,0.1348,0.865,0.535,0.4648
./uieb_dataset/reference-890/15045.png,0.3345,0.6655,0.2147,0.785,0.05032,0.9497,0.4766,0.5234,0.598,0.4016,0.06757,0.9326,0.1919,0.808,0.551,0.4495,0.1294,0.8706,0.749,0.251,0.686,0.314,0.923,0.07697,0.895,0.1052,0.766,0.2338,0.4844,0.5156,0.1688,0.831,0.8105,0.1896
./uieb_dataset/reference-890/409_img_.png,0.658,0.3416,0.3008,0.699,0.94,0.0601,0.905,0.09534,0.9243,0.07587,0.0967,0.9033,0.0601,0.94,0.4111,0.589,0.5547,0.4456,0.9717,0.02844,0.558,0.4417,0.4111,0.589,0.8726,0.1277,0.3486,0.6514,0.2598,0.74,0.3074,0.693,0.74,0.2598
./uieb_dataset/reference-890/575_img_.png,0.4495,0.551,0.3774,0.6226,0.6226,0.3774,0.966,0.0341,0.7744,0.2255,0.1348,0.865,0.0666,0.9336,0.676,0.3242,0.1422,0.858,0.626,0.3738,0.57,0.4302,0.637,0.363,0.887,0.1128,0.728,0.272,0.4844,0.5156,0.4111,0.589,0.9634,0.03677
./uieb_dataset/reference-890/890_img_.png,0.1225,0.8774,0.3523,0.648,0.2281,0.772,0.78,0.22,0.4377,0.562,0.0851,0.915,0.04672,0.953,0.752,0.248,0.1968,0.803,0.887,0.1128,0.7373,0.263,0.7056,0.2942,0.829,0.171,0.4844,0.5156,0.269,0.731,0.2878,0.7124,0.984,0.0159
./uieb_dataset/reference-890/254_img_.png,0.152,0.848,0.5273,0.4727,0.893,0.1067,0.9907,0.00927,0.686,0.314,0.0666,0.9336,0.1422,0.858,0.82,0.18,0.0336,0.9663,0.881,0.1192,0.7773,0.2227,0.2783,0.7217,0.796,0.2043,0.6826,0.3174,0.6406,0.3594,0.2974,0.7026,0.985,0.01495
./uieb_dataset/reference-890/383_img_.png,0.772,0.2281,0.6074,0.3923,0.2751,0.725,0.725,0.2751,0.5,0.5,0.094,0.906,0.0967,0.9033,0.8975,0.1023,0.3523,0.648,0.9004,0.0995,0.8057,0.1943,0.725,0.2751,0.769,0.231,0.539,0.461,0.381,0.6187,0.152,0.848,0.669,0.331
./uieb_dataset/reference-890/666_img_.png,0.2598,0.74,0.1755,0.824,0.1688,0.831,0.8335,0.1666,0.6333,0.3667,0.04742,0.9526,0.2815,0.7188,0.2069,0.793,0.22,0.78,0.4922,0.508,0.6,0.4,0.6187,0.381,0.749,0.251,0.504,0.496,0.1348,0.865,0.434,0.566,0.916,0.08386
./uieb_dataset/reference-890/5830.png,0.457,0.543,0.269,0.731,0.669,0.331,0.939,0.06097,0.463,0.537,0.0901,0.9097,0.3108,0.6895,0.179,0.821,0.907,0.0927,0.945,0.055,0.03333,0.967,0.4495,0.551,0.9194,0.0804,0.5273,0.4727,0.1128,0.887,0.604,0.396,0.3208,0.679
./uieb_dataset/reference-890/125_img_.png,0.11755,0.8823,0.3381,0.662,0.5156,0.4844,0.1384,0.8613,0.942,0.05835,0.3486,0.6514,0.06464,0.9355,0.6074,0.3923,0.1225,0.8774,0.57,0.4302,0.915,0.0851,0.7744,0.2255,0.7188,0.2815,0.4072,0.593,0.593,0.4072,0.10376,0.8965,0.9673,0.0326
./uieb_dataset/reference-890/631_img_.png,0.1624,0.8374,0.1348,0.865,0.3381,0.662,0.686,0.314,0.886,0.1136,0.1422,0.858,0.3923,0.6074,0.5776,0.4226,0.4766,0.5234,0.558,0.4417,0.74,0.2598,0.4263,0.5737,0.796,0.2043,0.6333,0.3667,0.1067,0.893,0.0876,0.9126,0.6074,0.3923
./uieb_dataset/reference-890/491_img_.png,0.0792,0.921,0.4534,0.547,0.535,0.4648,0.5,0.5,0.3774,0.6226,0.2018,0.7983,0.1943,0.8057,0.4727,0.5273,0.648,0.3523,0.8154,0.1848,0.6514,0.3486,0.6895,0.3108,0.7905,0.2095,0.7056,0.2942,0.22,0.78,0.1442,0.856,0.911,0.0888
./uieb_dataset/reference-890/402_img_.png,0.504,0.496,0.3738,0.626,0.615,0.385,0.766,0.2338,0.5547,0.4456,0.1242,0.876,0.1582,0.842,0.3208,0.679,0.644,0.3557,0.709,0.291,0.562,0.4377,0.4302,0.57,0.728,0.272,0.4534,0.547,0.2598,0.74,0.6226,0.3774,0.2598,0.74
./uieb_dataset/reference-890/439_img_.png,0.1943,0.8057,0.679,0.3208,0.848,0.152,0.9316,0.06854,0.82,0.18,0.0511,0.9487,0.154,0.8457,0.2422,0.758,0.2974,0.7026,0.9473,0.0526,0.2878,0.7124,0.251,0.749,0.693,0.3074,0.669,0.331,0.461,0.539,0.8354,0.1646,0.593,0.4072
./uieb_dataset/reference-890/838_img_.png,0.3774,0.6226,0.4148,0.585,0.813,0.1871,0.626,0.3738,0.5156,0.4844,0.152,0.848,0.2366,0.7637,0.8267,0.1733,0.3452,0.655,0.758,0.2422,0.6113,0.3887,0.5815,0.4187,0.6226,0.3774,0.6826,0.3174,0.2568,0.743,0.03622,0.964,0.78,0.22
./uieb_dataset/reference-890/711_img_.png,0.1896,0.8105,0.4226,0.5776,0.1192,0.881,0.9873,0.01263,0.6514,0.3486,0.03622,0.964,0.06097,0.939,0.254,0.746,0.04208,0.958,0.57,0.4302,0.3174,0.6826,0.9346,0.0656,0.796,0.2043,0.4495,0.551,0.07806,0.922,0.662,0.3381,0.9263,0.07367
./uieb_dataset/reference-890/22_img_.png,0.5,0.5,0.4922,0.508,0.699,0.3008,0.6,0.4,0.801,0.1993,0.2255,0.7744,0.0637,0.9365,0.6826,0.3174,0.3416,0.658,0.9883,0.01169,0.4456,0.5547,0.558,0.4417,0.854,0.1461,0.8057,0.1943,0.3923,0.6074,0.1646,0.8354,0.9355,0.06464
./uieb_dataset/reference-890/382_img_.png,0.8457,0.154,0.5273,0.4727,0.1481,0.852,0.2173,0.7827,0.5815,0.4187,0.0851,0.915,0.749,0.251,0.7373,0.263,0.2227,0.7773,0.396,0.604,0.769,0.231,0.7637,0.2366,0.679,0.3208,0.793,0.2069,0.589,0.4111,0.03516,0.965,0.644,0.3557
./uieb_dataset/reference-890/436_img_.png,0.593,0.4072,0.272,0.728,0.269,0.731,0.396,0.604,0.4648,0.535,0.1646,0.8354,0.2974,0.7026,0.63,0.37,0.4,0.6,0.658,0.3416,0.824,0.1755,0.8174,0.1824,0.8154,0.1848,0.693,0.3074,0.5117,0.4883,0.03818,0.962,0.8887,0.11127
./uieb_dataset/reference-890/257_img_.png,0.4226,0.5776,0.4456,0.5547,0.5547,0.4456,0.63,0.37,0.8774,0.1225,0.3887,0.6113,0.0619,0.938,0.3208,0.679,0.5312,0.4688,0.958,0.04208,0.434,0.566,0.766,0.2338,0.854,0.1461,0.7607,0.2394,0.1582,0.842,0.1688,0.831,0.986,0.01406
./uieb_dataset/reference-890/143_img_.png,0.2227,0.7773,0.3108,0.6895,0.3486,0.6514,0.8857,0.1144,0.74,0.2598,0.171,0.829,0.03732,0.963,0.3594,0.6406,0.1144,0.8857,0.8057,0.1943,0.743,0.2568,0.5195,0.4805,0.854,0.1461,0.7607,0.2394,0.2227,0.7773,0.676,0.3242,0.923,0.07697
./uieb_dataset/reference-890/8262.png,0.3923,0.6074,0.4844,0.5156,0.2255,0.7744,0.4883,0.5117,0.6113,0.3887,0.05664,0.9434,0.1603,0.84,0.1824,0.8174,0.8706,0.1294,0.5156,0.4844,0.2227,0.7773,0.6187,0.381,0.813,0.1871,0.662,0.3381,0.3887,0.6113,0.3416,0.658,0.3557,0.644
./uieb_dataset/reference-890/2977.png,0.4148,0.585,0.37,0.63,0.0927,0.907,0.858,0.1422,0.5234,0.4766,0.1277,0.8726,0.5312,0.4688,0.6514,0.3486,0.5117,0.4883,0.1733,0.8267,0.3667,0.6333,0.7607,0.2394,0.7026,0.2974,0.2568,0.743,0.63,0.37,0.596,0.4036,0.808,0.1919
./uieb_dataset/reference-890/579_img_.png,0.363,0.637,0.3345,0.6655,0.381,0.6187,0.906,0.094,0.4727,0.5273,0.1561,0.8438,0.0914,0.9087,0.3887,0.6113,0.0927,0.907,0.6113,0.3887,0.461,0.539,0.9097,0.0901,0.7905,0.2095,0.6826,0.3174,0.212,0.788,0.558,0.4417,0.937,0.0628
./uieb_dataset/reference-890/317_img_.png,0.7607,0.2394,0.3738,0.626,0.8374,0.1624,0.696,0.304,0.04208,0.958,0.04602,0.954,0.5117,0.4883,0.686,0.314,0.5273,0.4727,0.848,0.152,0.4072,0.593,0.3667,0.6333,0.5312,0.4688,0.3887,0.6113,0.2974,0.7026,0.272,0.728,0.1067,0.893
./uieb_dataset/reference-890/879_img_.png,0.2043,0.796,0.1919,0.808,0.0637,0.9365,0.9185,0.08154,0.758,0.2422,0.0863,0.9136,0.1422,0.858,0.331,0.669,0.0716,0.928,0.7373,0.263,0.593,0.4072,0.915,0.0851,0.813,0.1871,0.769,0.231,0.212,0.788,0.2878,0.7124,0.8223,0.1779
./uieb_dataset/reference-890/725_img_.png,0.4534,0.547,0.63,0.37,0.551,0.4495,0.78,0.22,0.5776,0.4226,0.1871,0.813,0.1329,0.867,0.2598,0.74,0.8057,0.1943,0.8843,0.11597,0.4072,0.593,0.4534,0.547,0.9185,0.08154,0.6333,0.3667,0.461,0.539,0.4495,0.551,0.6333,0.3667
./uieb_dataset/reference-890/25_img_.png,0.4148,0.585,0.3242,0.676,0.8916,0.1082,0.4534,0.547,0.5195,0.4805,0.1896,0.8105,0.231,0.769,0.4844,0.5156,0.655,0.3452,0.973,0.02676,0.4766,0.5234,0.269,0.731,0.8726,0.1277,0.8438,0.1561,0.381,0.6187,0.01567,0.9844,0.8916,0.1082
