image,psnr,ssim,Accurate Color Representation,Blue/Green Color Cast,Vibrant and vivid,Dull and washed-out,"Bright, Colorful Underwater Scene","Dim, Desaturated Underwater Colors",Crystal-clear and Unobstructed Scene,Murky and Obscured View,Balanced and Well-Lit view,Underlit scene and Backlit Objects
16.jpg,,,0.3557,0.644,0.8774,0.1225,0.958,0.04208,0.9893,0.01082,0.5117,0.4883
17.jpg,,,0.8267,0.1733,0.8267,0.1733,0.965,0.03516,0.9336,0.0666,0.3276,0.6724
18.jpg,,,0.746,0.254,0.8706,0.1294,0.9727,0.02759,0.937,0.0628,0.1943,0.8057
19.jpg,,,0.5737,0.4263,0.876,0.1242,0.946,0.0542,0.963,0.03732,0.4456,0.5547
20.jpg,,,0.3208,0.679,0.05032,0.9497,0.2568,0.743,0.895,0.1052,0.5234,0.4766
21.jpg,,,0.696,0.304,0.0496,0.95,0.2847,0.7153,0.966,0.0341,0.1128,0.887
22.jpg,,,0.6074,0.3923,0.0792,0.921,0.3557,0.644,0.942,0.05835,0.1225,0.8774
23.jpg,,,0.8633,0.1366,0.385,0.615,0.596,0.4036,0.829,0.171,0.0981,0.902
24.jpg,,,0.8823,0.11755,0.1422,0.858,0.1779,0.8223,0.8823,0.11755,0.02556,0.9746
25.jpg,,,0.547,0.4534,0.9253,0.07477,0.8687,0.1312,0.985,0.01519,0.04208,0.958
26.jpg,,,0.758,0.2422,0.0341,0.966,0.1384,0.8613,0.752,0.248,0.0995,0.9004
27.jpg,,,0.785,0.2147,0.15,0.85,0.1277,0.8726,0.895,0.1052,0.0592,0.941
28.jpg,,,0.539,0.461,0.9346,0.0656,0.9805,0.01971,0.992,0.007576,0.551,0.4495
29.jpg,,,0.876,0.1242,0.1666,0.8335,0.457,0.543,0.854,0.1461,0.0901,0.9097
30.jpg,,,0.7744,0.2255,0.2878,0.7124,0.381,0.6187,0.9185,0.08154,0.06854,0.9316
31.jpg,,,0.57,0.4302,0.154,0.8457,0.6406,0.3594,0.793,0.2069,0.1871,0.813
32.jpg,,,0.9185,0.08154,0.3523,0.648,0.4263,0.5737,0.785,0.2147,0.1432,0.857
33.jpg,,,0.2227,0.7773,0.2751,0.725,0.3108,0.6895,0.7607,0.2394,0.1097,0.89
34.jpg,,,0.728,0.272,0.1481,0.852,0.3008,0.699,0.9346,0.0656,0.04147,0.9585
35.jpg,,,0.5117,0.4883,0.1461,0.854,0.8706,0.1294,0.9185,0.08154,0.01666,0.9834
36.jpg,,,0.4226,0.5776,0.788,0.212,0.965,0.03516,0.9854,0.0145,0.0592,0.941
37.jpg,,,0.669,0.331,0.2173,0.7827,0.637,0.363,0.899,0.1009,0.0365,0.9634
38.jpg,,,0.461,0.539,0.1422,0.858,0.314,0.686,0.8887,0.11127,0.0534,0.947
39.jpg,,,0.615,0.385,0.0827,0.9175,0.1993,0.801,0.829,0.171,0.03568,0.9644
40.jpg,,,0.6895,0.3108,0.977,0.02298,0.9834,0.0164,0.9814,0.01854,0.5117,0.4883
41.jpg,,,0.7026,0.2974,0.1144,0.8857,0.2227,0.7773,0.86,0.1404,0.00514,0.9946
42.jpg,,,0.2847,0.7153,0.2942,0.7056,0.6226,0.3774,0.874,0.126,0.00514,0.9946
43.jpg,,,0.3452,0.655,0.1384,0.8613,0.4883,0.5117,0.9434,0.05664,0.00685,0.993
44.jpg,,,0.7026,0.2974,0.1294,0.8706,0.4148,0.585,0.8843,0.11597,0.01692,0.983
45.jpg,,,0.6514,0.3486,0.0575,0.9424,0.1312,0.8687,0.922,0.07806,0.1097,0.89
46.jpg,,,0.4883,0.5117,0.171,0.829,0.508,0.4922,0.941,0.0592,0.01082,0.9893
47.jpg,,,0.126,0.874,0.3276,0.6724,0.10376,0.8965,0.938,0.0619,0.009125,0.9907
48.jpg,,,0.3174,0.6826,0.22,0.78,0.547,0.4534,0.9683,0.03162,0.00547,0.9946
49.jpg,,,0.3887,0.6113,0.2366,0.7637,0.4688,0.5312,0.766,0.2338,0.1348,0.865
50.jpg,,,0.4111,0.589,0.508,0.4922,0.535,0.4648,0.854,0.1461,0.03516,0.965
51.jpg,,,0.269,0.731,0.1993,0.801,0.3108,0.6895,0.9526,0.04742,0.007812,0.992
52.jpg,,,0.508,0.4922,0.9004,0.0995,0.9795,0.02034,0.983,0.01692,0.2422,0.758
53.jpg,,,0.1422,0.858,0.231,0.769,0.4148,0.585,0.911,0.0888,0.00433,0.9956
54.jpg,,,0.5547,0.4456,0.8887,0.11127,0.9424,0.0575,0.9937,0.00639,0.03906,0.961
55.jpg,,,0.4844,0.5156,0.699,0.3008,0.9126,0.0876,0.941,0.0592,0.04147,0.9585
56.jpg,,,0.593,0.4072,0.593,0.4072,0.929,0.07056,0.8975,0.1023,0.03622,0.964
57.jpg,,,0.5273,0.4727,0.86,0.1404,0.915,0.0851,0.989,0.01116,0.02802,0.972
58.jpg,,,0.2227,0.7773,0.4534,0.547,0.8457,0.154,0.987,0.01302,0.03516,0.965
59.jpg,,,0.693,0.3074,0.939,0.06097,0.915,0.0851,0.982,0.01799,0.07367,0.9263
60.jpg,,,0.8633,0.1366,0.955,0.04468,0.9253,0.07477,0.9473,0.0526,0.0496,0.95
61.jpg,,,0.808,0.1919,0.84,0.1603,0.8843,0.11597,0.988,0.012054,0.03516,0.965
62.jpg,,,0.86,0.1404,0.8354,0.1646,0.947,0.0534,0.9814,0.01854,0.03845,0.9614
63.jpg,,,0.876,0.1242,0.945,0.055,0.9634,0.03677,0.996,0.003944,0.02844,0.9717
64.jpg,,,0.3887,0.6113,0.9727,0.02718,0.99,0.00956,0.9897,0.01001,0.4,0.6
65.jpg,,,0.8374,0.1624,0.893,0.1067,0.939,0.06097,0.988,0.01224,0.02676,0.973
66.jpg,,,0.922,0.07806,0.5156,0.4844,0.731,0.269,0.9897,0.01033,0.01322,0.987
67.jpg,,,0.4456,0.5547,0.902,0.0981,0.9775,0.02263,0.993,0.006905,0.0619,0.938
68.jpg,,,0.3923,0.6074,0.8823,0.11755,0.9653,0.0346,0.9976,0.002472,0.07477,0.9253
69.jpg,,,0.2394,0.7607,0.752,0.248,0.8613,0.1384,0.978,0.02194,0.0575,0.9424
70.jpg,,,0.2942,0.7056,0.916,0.08386,0.9575,0.04272,0.9805,0.01971,0.5117,0.4883
71.jpg,,,0.01385,0.9863,0.00514,0.9946,0.02931,0.9707,0.8374,0.1624,0.4377,0.562
72.jpg,,,0.1329,0.867,0.01971,0.9805,0.0967,0.9033,0.9316,0.06854,0.263,0.7373
73.jpg,,,0.746,0.254,0.0804,0.9194,0.0863,0.9136,0.7637,0.2366,0.2815,0.7188
74.jpg,,,0.6724,0.3276,0.4727,0.5273,0.596,0.4036,0.74,0.2598,0.1082,0.8916
75.jpg,,,0.08386,0.916,0.0628,0.937,0.1366,0.8633,0.848,0.152,0.2974,0.7026
76.jpg,,,0.1896,0.8105,0.0326,0.9673,0.1688,0.831,0.948,0.05185,0.212,0.788
77.jpg,,,0.0901,0.9097,0.003376,0.9966,0.006004,0.994,0.8154,0.1848,0.7905,0.2095
78.jpg,,,0.1582,0.842,0.0379,0.962,0.1442,0.856,0.758,0.2422,0.1755,0.824
79.jpg,,,0.4805,0.5195,0.08386,0.916,0.0716,0.928,0.693,0.3074,0.04083,0.959
80.jpg,,,0.6226,0.3774,0.84,0.1603,0.7153,0.2847,0.887,0.1128,0.044,0.956
81.jpg,,,0.0526,0.9473,0.01519,0.985,0.171,0.829,0.893,0.1067,0.2018,0.7983
82.jpg,,,0.2095,0.7905,0.0995,0.9004,0.1561,0.8438,0.6655,0.3345,0.3416,0.658
83.jpg,,,0.4922,0.508,0.0341,0.966,0.07056,0.929,0.7056,0.2942,0.547,0.4534
84.jpg,,,0.696,0.304,0.01363,0.9863,0.03568,0.9644,0.331,0.669,0.86,0.1404
85.jpg,,,0.3557,0.644,0.02162,0.9785,0.04672,0.953,0.626,0.3738,0.3557,0.644
86.jpg,,,0.06464,0.9355,0.02931,0.9707,0.08386,0.916,0.251,0.749,0.3381,0.662
87.jpg,,,0.269,0.731,0.01942,0.9805,0.0336,0.9663,0.7373,0.263,0.1896,0.8105
88.jpg,,,0.4111,0.589,0.001525,0.9985,0.0321,0.968,0.6333,0.3667,0.725,0.2751
89.jpg,,,0.0792,0.921,0.02298,0.977,0.03677,0.9634,0.8965,0.10376,0.2451,0.755
90.jpg,,,0.1294,0.8706,0.00461,0.9956,0.02518,0.9746,0.626,0.3738,0.4766,0.5234
91.jpg,,,0.2568,0.743,0.5312,0.4688,0.8438,0.1561,0.9844,0.01543,0.03964,0.9604
92.jpg,,,0.0914,0.9087,0.03622,0.964,0.2069,0.793,0.9517,0.04813,0.6514,0.3486
93.jpg,,,0.005913,0.994,0.171,0.829,0.5156,0.4844,0.8887,0.11127,0.272,0.728
94.jpg,,,0.8687,0.1312,0.02298,0.977,0.0888,0.911,0.4495,0.551,0.1481,0.852
95.jpg,,,0.2783,0.7217,0.381,0.6187,0.758,0.2422,0.86,0.1404,0.08154,0.9185
96.jpg,,,0.2095,0.7905,0.4417,0.558,0.7637,0.2366,0.961,0.03906,0.03516,0.965
97.jpg,,,0.251,0.749,0.3452,0.655,0.3523,0.648,0.9834,0.01666,0.05185,0.948
98.jpg,,,0.7153,0.2847,0.7153,0.2847,0.725,0.2751,0.923,0.07697,0.03516,0.965
99.jpg,,,0.676,0.3242,0.314,0.686,0.2783,0.7217,0.8975,0.1023,0.0792,0.921
100.jpg,,,0.7773,0.2227,0.3108,0.6895,0.57,0.4302,0.85,0.15,0.0496,0.95
101.jpg,,,0.5273,0.4727,0.15,0.85,0.5815,0.4187,0.746,0.254,0.094,0.906
102.jpg,,,0.08386,0.916,0.566,0.434,0.905,0.09534,0.9863,0.01343,0.0145,0.9854
103.jpg,,,0.254,0.746,0.269,0.731,0.7188,0.2815,0.967,0.03308,0.1023,0.8975
104.jpg,,,0.4148,0.585,0.2422,0.758,0.4922,0.508,0.9683,0.03162,0.0321,0.968
105.jpg,,,0.1442,0.856,0.126,0.874,0.4148,0.585,0.9814,0.01854,0.00956,0.99
106.jpg,,,0.2255,0.7744,0.2018,0.7983,0.5195,0.4805,0.9717,0.02844,0.02405,0.976
107.jpg,,,0.752,0.248,0.2751,0.725,0.3381,0.662,0.5156,0.4844,0.3108,0.6895
108.jpg,,,0.2847,0.7153,0.3523,0.648,0.78,0.22,0.9185,0.08154,0.1277,0.8726
109.jpg,,,0.3345,0.6655,0.3557,0.644,0.6655,0.3345,0.8975,0.1023,0.11127,0.8887
110.jpg,,,0.1366,0.8633,0.07697,0.923,0.3452,0.655,0.887,0.1128,0.0716,0.928
111.jpg,,,0.11127,0.8887,0.1442,0.856,0.3381,0.662,0.953,0.04672,0.0981,0.902
112.jpg,,,0.1242,0.876,0.212,0.788,0.669,0.331,0.923,0.07697,0.0511,0.9487
113.jpg,,,0.57,0.4302,0.2847,0.7153,0.2974,0.7026,0.922,0.07806,0.171,0.829
114.jpg,,,0.1312,0.8687,0.4883,0.5117,0.755,0.2451,0.99,0.00986,0.02298,0.977
115.jpg,,,0.04083,0.959,0.396,0.604,0.752,0.248,0.95,0.0496,0.0863,0.9136
116.jpg,,,0.4226,0.5776,0.3174,0.6826,0.5737,0.4263,0.6655,0.3345,0.4072,0.593
117.jpg,,,0.1348,0.865,0.0321,0.968,0.2043,0.796,0.788,0.212,0.2783,0.7217
118.jpg,,,0.05185,0.948,0.03622,0.964,0.1848,0.8154,0.9185,0.08154,0.1442,0.856
119.jpg,,,0.1312,0.8687,0.171,0.829,0.2659,0.734,0.831,0.1688,0.4648,0.535
120.jpg,,,0.905,0.09534,0.686,0.314,0.879,0.12085,0.743,0.2568,0.03044,0.9697
121.jpg,,,0.4844,0.5156,0.2095,0.7905,0.3108,0.6895,0.86,0.1404,0.37,0.63
122.jpg,,,0.1009,0.899,0.1366,0.8633,0.314,0.686,0.9717,0.02844,0.0346,0.9653
123.jpg,,,0.3486,0.6514,0.0326,0.9673,0.2394,0.7607,0.9136,0.0863,0.11755,0.8823
124.jpg,,,0.04886,0.951,0.1329,0.867,0.269,0.731,0.9136,0.0863,0.05582,0.9443
125.jpg,,,0.1277,0.8726,0.551,0.4495,0.89,0.1097,0.988,0.01243,0.03677,0.9634
126.jpg,,,0.593,0.4072,0.1666,0.8335,0.2751,0.725,0.788,0.212,0.3008,0.699
127.jpg,,,0.4922,0.508,0.12085,0.879,0.2281,0.772,0.842,0.1582,0.4,0.6
128.jpg,,,0.7188,0.2815,0.4036,0.596,0.4187,0.5815,0.7056,0.2942,0.699,0.3008
129.jpg,,,0.304,0.696,0.171,0.829,0.1755,0.824,0.8823,0.11755,0.1422,0.858
130.jpg,,,0.02718,0.9727,0.1755,0.824,0.1755,0.824,0.876,0.1242,0.154,0.8457
131.jpg,,,0.05664,0.9434,0.18,0.82,0.2043,0.796,0.8057,0.1943,0.1582,0.842
132.jpg,,,0.504,0.496,0.7026,0.2974,0.941,0.0592,0.923,0.07697,0.06464,0.9355
133.jpg,,,0.1242,0.876,0.304,0.696,0.1779,0.8223,0.7983,0.2018,0.1733,0.8267
134.jpg,,,0.3416,0.658,0.2815,0.7188,0.314,0.686,0.9517,0.04813,0.2847,0.7153
135.jpg,,,0.8354,0.1646,0.263,0.7373,0.74,0.2598,0.939,0.06097,0.03622,0.964
136.jpg,,,0.1242,0.876,0.813,0.1871,0.9663,0.0336,0.9897,0.01017,0.006004,0.994
137.jpg,,,0.07697,0.923,0.1404,0.86,0.2942,0.7056,0.7153,0.2847,0.314,0.686
138.jpg,,,0.02097,0.979,0.1561,0.8438,0.5117,0.4883,0.4727,0.5273,0.2069,0.793
139.jpg,,,0.1404,0.86,0.4187,0.5815,0.7026,0.2974,0.8438,0.1561,0.12085,0.879
140.jpg,,,0.3523,0.648,0.2043,0.796,0.331,0.669,0.986,0.01428,0.1294,0.8706
141.jpg,,,0.1624,0.8374,0.1192,0.881,0.4417,0.558,0.939,0.06097,0.0376,0.9624
142.jpg,,,0.254,0.746,0.4111,0.589,0.6226,0.3774,0.7744,0.2255,0.1871,0.813
143.jpg,,,0.1993,0.801,0.154,0.8457,0.4111,0.589,0.85,0.15,0.03114,0.9688
144.jpg,,,0.4495,0.551,0.496,0.504,0.644,0.3557,0.8154,0.1848,0.2766,0.723
145.jpg,,,0.1993,0.801,0.0592,0.941,0.37,0.63,0.942,0.05835,0.0496,0.95
146.jpg,,,0.2878,0.7124,0.1312,0.8687,0.269,0.731,0.942,0.05835,0.08154,0.9185
147.jpg,,,0.0995,0.9004,0.793,0.2069,0.9136,0.0863,0.9937,0.00649,0.0341,0.966
148.jpg,,,0.126,0.874,0.0967,0.9033,0.3523,0.648,0.9883,0.011505,0.4263,0.5737
149.jpg,,,0.2783,0.7217,0.01495,0.985,0.0863,0.9136,0.824,0.1755,0.0995,0.9004
150.jpg,,,0.2069,0.793,0.2018,0.7983,0.593,0.4072,0.9834,0.0164,0.0511,0.9487
151.jpg,,,0.4187,0.5815,0.1461,0.854,0.2598,0.74,0.8887,0.11127,0.04886,0.951
152.jpg,,,0.4072,0.593,0.8726,0.1277,0.9243,0.07587,0.9854,0.01473,0.07263,0.9272
153.jpg,,,0.3557,0.644,0.2095,0.7905,0.824,0.1755,0.967,0.03308,0.02443,0.9756
154.jpg,,,0.4263,0.5737,0.1919,0.808,0.4072,0.593,0.793,0.2069,0.2847,0.7153
155.jpg,,,0.2942,0.7056,0.0496,0.95,0.1277,0.8726,0.895,0.1052,0.3523,0.648
156.jpg,,,0.4805,0.5195,0.1442,0.856,0.3174,0.6826,0.74,0.2598,0.2878,0.7124
157.jpg,,,0.1848,0.8154,0.01772,0.9824,0.007935,0.992,0.922,0.07806,0.8335,0.1666
158.jpg,,,0.1968,0.803,0.7744,0.2255,0.95,0.0496,0.993,0.006905,0.01302,0.987
159.jpg,,,0.4226,0.5776,0.006004,0.994,0.02802,0.972,0.248,0.752,0.1366,0.8633
161.jpg,,,0.02975,0.97,0.3242,0.676,0.4495,0.551,0.899,0.1009,0.4766,0.5234
162.jpg,,,0.504,0.496,0.457,0.543,0.829,0.171,0.831,0.1688,0.055,0.945
163.jpg,,,0.788,0.212,0.637,0.363,0.648,0.3523,0.9097,0.0901,0.2974,0.7026
164.jpg,,,0.8965,0.10376,0.04147,0.9585,0.01519,0.985,0.1582,0.842,0.4,0.6
165.jpg,,,0.4648,0.535,0.0159,0.984,0.003483,0.9966,0.18,0.82,0.5776,0.4226
166.jpg,,,0.942,0.05835,0.00746,0.9927,0.0145,0.9854,0.535,0.4648,0.4844,0.5156
167.jpg,,,0.4727,0.5273,0.00454,0.9956,0.02065,0.9795,0.749,0.251,0.2095,0.7905
168.jpg,,,0.8154,0.1848,0.01406,0.986,0.04147,0.9585,0.7124,0.2878,0.5273,0.4727
169.jpg,,,0.5273,0.4727,0.1082,0.8916,0.1294,0.8706,0.987,0.01302,0.003885,0.996
170.jpg,,,0.2974,0.7026,0.0164,0.9834,0.00819,0.9917,0.593,0.4072,0.865,0.1348
171.jpg,,,0.6333,0.3667,0.3887,0.6113,0.8774,0.1225,0.984,0.0159,0.05835,0.942
172.jpg,,,0.4688,0.5312,0.00819,0.9917,0.0716,0.928,0.254,0.746,0.8887,0.11127
173.jpg,,,0.0656,0.9346,0.0159,0.984,0.05664,0.9434,0.876,0.1242,0.5,0.5
174.jpg,,,0.1561,0.8438,0.005642,0.994,0.00956,0.99,0.9126,0.0876,0.2598,0.74
175.jpg,,,0.752,0.248,0.00365,0.9966,0.02194,0.978,0.248,0.752,0.7637,0.2366
176.jpg,,,0.1755,0.824,0.02887,0.971,0.1067,0.893,0.8223,0.1779,0.2598,0.74
177.jpg,,,0.05032,0.9497,0.001367,0.9985,0.01187,0.9883,0.86,0.1404,0.7905,0.2095
178.jpg,,,0.8154,0.1848,0.2568,0.743,0.1461,0.854,0.8267,0.1733,0.149,0.851
179.jpg,,,0.508,0.4922,0.03964,0.9604,0.0927,0.907,0.874,0.126,0.3074,0.693
180.jpg,,,0.07367,0.9263,0.637,0.363,0.9175,0.0827,0.9927,0.007122,0.00927,0.9907
181.jpg,,,0.74,0.2598,0.0888,0.911,0.11755,0.8823,0.3738,0.626,0.2281,0.772
182.jpg,,,0.734,0.2659,0.0804,0.9194,0.1348,0.865,0.801,0.1993,0.07587,0.9243
183.jpg,,,0.5117,0.4883,0.2366,0.7637,0.535,0.4648,0.9443,0.05582,0.07056,0.929
184.jpg,,,0.6655,0.3345,0.02931,0.9707,0.03845,0.9614,0.693,0.3074,0.3923,0.6074
185.jpg,,,0.2598,0.74,0.002758,0.997,0.01495,0.985,0.8335,0.1666,0.1052,0.895
186.jpg,,,0.4187,0.5815,0.01826,0.982,0.01322,0.987,0.893,0.1067,0.4226,0.5776
187.jpg,,,0.37,0.63,0.001574,0.9985,0.02596,0.974,0.4,0.6,0.648,0.3523
188.jpg,,,0.4534,0.547,0.02002,0.98,0.1329,0.867,0.9487,0.0511,0.02759,0.9727
189.jpg,,,0.1329,0.867,0.0496,0.95,0.1603,0.84,0.831,0.1688,0.2751,0.725
190.jpg,,,0.508,0.4922,0.2173,0.7827,0.7188,0.2815,0.7217,0.2783,0.1294,0.8706
191.jpg,,,0.4377,0.562,0.496,0.504,0.4226,0.5776,0.9194,0.0804,0.04813,0.9517
192.jpg,,,0.4534,0.547,0.1225,0.8774,0.4456,0.5547,0.6187,0.381,0.2227,0.7773
193.jpg,,,0.4,0.6,0.02759,0.9727,0.094,0.906,0.938,0.0619,0.2815,0.7188
194.jpg,,,0.1968,0.803,0.2878,0.7124,0.842,0.1582,0.989,0.01116,0.02034,0.9795
195.jpg,,,0.7026,0.2974,0.1666,0.8335,0.2751,0.725,0.74,0.2598,0.1824,0.8174
196.jpg,,,0.4456,0.5547,0.1009,0.899,0.3174,0.6826,0.8823,0.11755,0.434,0.566
197.jpg,,,0.4456,0.5547,0.02802,0.972,0.1329,0.867,0.4148,0.585,0.251,0.749
198.jpg,,,0.126,0.874,0.002512,0.9976,0.009125,0.9907,0.9614,0.03845,0.4417,0.558
199.jpg,,,0.461,0.539,0.03021,0.9697,0.0592,0.941,0.6514,0.3486,0.171,0.829
200.jpg,,,0.7217,0.2783,0.02097,0.979,0.0695,0.9307,0.709,0.291,0.5776,0.4226
201.jpg,,,0.874,0.126,0.0628,0.937,0.04535,0.9546,0.5234,0.4766,0.2451,0.755
202.jpg,,,0.304,0.696,0.7056,0.2942,0.887,0.1128,0.963,0.03732,0.009125,0.9907
203.jpg,,,0.7744,0.2255,0.04337,0.9565,0.05032,0.9497,0.22,0.78,0.6724,0.3276
204.jpg,,,0.4805,0.5195,0.381,0.6187,0.8105,0.1896,0.9346,0.0656,0.0914,0.9087
205.jpg,,,0.08386,0.916,0.1919,0.808,0.363,0.637,0.8613,0.1384,0.2095,0.7905
206.jpg,,,0.749,0.251,0.0792,0.921,0.644,0.3557,0.939,0.06097,0.00619,0.9937
207.jpg,,,0.2255,0.7744,0.1943,0.8057,0.562,0.4377,0.937,0.0628,0.2974,0.7026
208.jpg,,,0.304,0.696,0.254,0.746,0.728,0.272,0.968,0.0321,0.08386,0.916
209.jpg,,,0.15,0.85,0.4648,0.535,0.7217,0.2783,0.94,0.0601,0.11597,0.8843
210.jpg,,,0.3452,0.655,0.1404,0.86,0.558,0.4417,0.972,0.02802,0.0666,0.9336
211.jpg,,,0.1225,0.8774,0.0526,0.9473,0.457,0.543,0.9673,0.0326,0.1348,0.865
212.jpg,,,0.2451,0.755,0.06464,0.9355,0.626,0.3738,0.8613,0.1384,0.04083,0.959
213.jpg,,,0.3416,0.658,0.6514,0.3486,0.7607,0.2394,0.977,0.02298,0.009125,0.9907
214.jpg,,,0.05835,0.942,0.5815,0.4187,0.9136,0.0863,0.9604,0.03964,0.01243,0.988
215.jpg,,,0.1603,0.84,0.5273,0.4727,0.547,0.4534,0.6406,0.3594,0.496,0.504
216.jpg,,,0.0863,0.9136,0.4922,0.508,0.829,0.171,0.9614,0.03845,0.2227,0.7773
217.jpg,,,0.01718,0.983,0.385,0.615,0.769,0.231,0.921,0.0792,0.1624,0.8374
218.jpg,,,0.504,0.496,0.3345,0.6655,0.803,0.1968,0.831,0.1688,0.04468,0.955
219.jpg,,,0.1009,0.899,0.1442,0.856,0.547,0.4534,0.895,0.1052,0.1688,0.831
220.jpg,,,0.2281,0.772,0.658,0.3416,0.9004,0.0995,0.9526,0.04742,0.1384,0.8613
221.jpg,,,0.1348,0.865,0.254,0.746,0.6895,0.3108,0.9883,0.01187,0.1755,0.824
222.jpg,,,0.4766,0.5234,0.2847,0.7153,0.7744,0.2255,0.915,0.0851,0.05664,0.9434
223.jpg,,,0.551,0.4495,0.0695,0.9307,0.3108,0.6895,0.7607,0.2394,0.496,0.504
224.jpg,,,0.8174,0.1824,0.012146,0.988,0.03677,0.9634,0.254,0.746,0.363,0.637
225.jpg,,,0.2451,0.755,0.3345,0.6655,0.637,0.363,0.962,0.0379,0.04535,0.9546
226.jpg,,,0.4922,0.508,0.055,0.945,0.5815,0.4187,0.865,0.1348,0.551,0.4495
227.jpg,,,0.03308,0.967,0.1082,0.8916,0.5547,0.4456,0.9033,0.0967,0.2878,0.7124
228.jpg,,,0.0619,0.938,0.04337,0.9565,0.2227,0.7773,0.972,0.02802,0.0876,0.9126
229.jpg,,,0.1404,0.86,0.2147,0.785,0.593,0.4072,0.824,0.1755,0.1242,0.876
230.jpg,,,0.539,0.461,0.01744,0.9824,0.01519,0.985,0.699,0.3008,0.1779,0.8223
231.jpg,,,0.5776,0.4226,0.04602,0.954,0.0526,0.9473,0.867,0.1329,0.2878,0.7124
232.jpg,,,0.648,0.3523,0.01439,0.986,0.02443,0.9756,0.6406,0.3594,0.3157,0.684
233.jpg,,,0.8438,0.1561,0.006096,0.994,0.07806,0.922,0.3381,0.662,0.7124,0.2878
234.jpg,,,0.434,0.566,0.03622,0.964,0.1052,0.895,0.3667,0.6333,0.788,0.212
235.jpg,,,0.4495,0.551,0.0164,0.9834,0.04025,0.96,0.314,0.686,0.2598,0.74
236.jpg,,,0.5156,0.4844,0.558,0.4417,0.4495,0.551,0.9546,0.04535,0.02844,0.9717
237.jpg,,,0.2366,0.7637,0.004982,0.995,0.08154,0.9185,0.457,0.543,0.1968,0.803
238.jpg,,,0.3738,0.626,0.01224,0.988,0.03845,0.9614,0.37,0.63,0.709,0.291
239.jpg,,,0.4,0.6,0.248,0.752,0.1919,0.808,0.858,0.1422,0.1009,0.899
240.jpg,,,0.7744,0.2255,0.002216,0.9976,0.008575,0.991,0.231,0.769,0.5195,0.4805
241.jpg,,,0.743,0.2568,0.1733,0.8267,0.126,0.874,0.848,0.152,0.543,0.457
242.jpg,,,0.1896,0.8105,0.0326,0.9673,0.0981,0.902,0.63,0.37,0.496,0.504
243.jpg,,,0.74,0.2598,0.003824,0.996,0.01017,0.9897,0.0901,0.9097,0.396,0.604
244.jpg,,,0.788,0.212,0.005386,0.9946,0.01224,0.988,0.5776,0.4226,0.1779,0.8223
245.jpg,,,0.725,0.2751,0.01799,0.982,0.02034,0.9795,0.2173,0.7827,0.4922,0.508
246.jpg,,,0.7827,0.2173,0.4302,0.57,0.3774,0.6226,0.9126,0.0876,0.2338,0.766
247.jpg,,,0.12085,0.879,0.2783,0.7217,0.879,0.12085,0.9785,0.02162,0.012054,0.988
248.jpg,,,0.03845,0.9614,0.1294,0.8706,0.2095,0.7905,0.9683,0.03162,0.679,0.3208
249.jpg,,,0.1329,0.867,0.1192,0.881,0.4766,0.5234,0.8613,0.1384,0.461,0.539
250.jpg,,,0.0601,0.94,0.07477,0.9253,0.2173,0.7827,0.9565,0.04337,0.3523,0.648
251.jpg,,,0.01942,0.9805,0.0496,0.95,0.2227,0.7773,0.9585,0.04147,0.1561,0.8438
