image,psnr,ssim,Accurate Color Representation,Blue/Green Color Cast,Accurate and Natural Color Representation,"Inaccurate, Artifact and uncomfortable Color Cast","Harmonious, Suitable, and Aesthetically Pleasing Color Representation","Distorted, Unfitting, and Visually Displeasing Color Cast",Vibrant and vivid,Dull and washed-out,"Bright, Colorful Underwater Scene","Dim, Desaturated Underwater Colors",Crystal-clear and Unobstructed Scene,Murky and Obscured View,Balanced and Well-Lit view,Underlit scene and Backlit Objects,Richly detailed, Blurry and indistinct,Sharp Aquatic Details,Blurred Movement,Natural Ambient Light,Artificial Light
27.jpg,18.300762176513672,0.9165877103805542,0.9194,0.0804,0.956,0.044,0.662,0.3381,0.1023,0.8975,0.08386,0.916,0.8975,0.1023,0.06854,0.9316,0.269,0.731,0.995,0.004757,0.9517,0.04813
28.jpg,22.21950912475586,0.9129636287689209,0.848,0.152,0.9263,0.07367,0.4727,0.5273,0.5156,0.4844,0.693,0.3074,0.9883,0.01187,0.2227,0.7773,0.1242,0.876,0.9355,0.06464,0.8823,0.11755
29.jpg,18.625123977661133,0.9209818840026855,0.978,0.02194,0.9956,0.0042,0.906,0.094,0.171,0.829,0.2974,0.7026,0.6724,0.3276,0.04996,0.95,0.2815,0.7188,0.9966,0.003593,0.921,0.0792
30.jpg,18.446918487548828,0.923554539680481,0.971,0.02887,0.9863,0.01343,0.8105,0.1896,0.4148,0.585,0.508,0.4922,0.8823,0.11755,0.1144,0.8857,0.4148,0.585,0.998,0.002182,0.928,0.0716
31.jpg,17.95565414428711,0.9193082451820374,0.9272,0.07263,0.9644,0.03568,0.604,0.396,0.1461,0.854,0.1896,0.8105,0.906,0.094,0.2422,0.758,0.504,0.496,0.999,0.001081,0.9272,0.07263
32.jpg,18.852405548095703,0.9230080246925354,0.9824,0.01744,0.9673,0.0326,0.728,0.272,0.1896,0.8105,0.1919,0.808,0.7056,0.2942,0.2147,0.785,0.3486,0.6514,0.999,0.001065,0.881,0.1192
33.jpg,18.848312377929688,0.9217777252197266,0.7153,0.2847,0.9644,0.03568,0.669,0.331,0.1052,0.895,0.2043,0.796,0.8057,0.1943,0.1394,0.861,0.648,0.3523,0.9976,0.002472,0.906,0.094
34.jpg,19.327878952026367,0.9155246615409851,0.803,0.1968,0.8354,0.1646,0.4226,0.5776,0.1624,0.8374,0.2659,0.734,0.9585,0.04147,0.03021,0.9697,0.4,0.6,0.9937,0.00639,0.9756,0.02443
35.jpg,24.555421829223633,0.8995629549026489,0.504,0.496,0.9355,0.06464,0.3887,0.6113,0.1067,0.893,0.693,0.3074,0.991,0.008575,0.01971,0.9805,0.1442,0.856,0.977,0.02298,0.9873,0.01263
36.jpg,23.86014747619629,0.9260282516479492,0.84,0.1603,0.9644,0.03568,0.6895,0.3108,0.604,0.396,0.808,0.1919,0.967,0.03308,0.06232,0.9375,0.4456,0.5547,0.987,0.01322,0.9487,0.0511
37.jpg,23.447826385498047,0.9011563658714294,0.2598,0.74,0.876,0.1242,0.3242,0.676,0.06323,0.9365,0.676,0.3242,0.978,0.02194,0.01956,0.9805,0.3887,0.6113,0.969,0.03067,0.984,0.0159
38.jpg,23.730348587036133,0.8985790014266968,0.3074,0.693,0.881,0.1192,0.4148,0.585,0.1294,0.8706,0.4883,0.5117,0.9775,0.0223,0.02887,0.971,0.3594,0.6406,0.9834,0.0164,0.984,0.01616
39.jpg,23.89334487915039,0.9078589677810669,0.3738,0.626,0.615,0.385,0.2783,0.7217,0.1192,0.881,0.2281,0.772,0.967,0.03308,0.03516,0.965,0.6074,0.3923,0.9917,0.008316,0.971,0.02887
40.jpg,22.833221435546875,0.9181317090988159,0.9263,0.07367,0.9434,0.05664,0.6655,0.3345,0.6655,0.3345,0.74,0.2598,0.973,0.02676,0.4377,0.562,0.1733,0.8267,0.959,0.04083,0.8223,0.1779
41.jpg,24.225793838500977,0.9195079803466797,0.4766,0.5234,0.879,0.12085,0.4036,0.596,0.15,0.85,0.396,0.604,0.9727,0.02718,0.0145,0.9854,0.152,0.848,0.9688,0.03114,0.9805,0.01942
42.jpg,23.638904571533203,0.9208817481994629,0.4377,0.562,0.5776,0.4226,0.381,0.6187,0.2095,0.7905,0.3242,0.676,0.968,0.0321,0.01049,0.9897,0.2751,0.725,0.979,0.02097,0.955,0.04468
43.jpg,23.44597053527832,0.9118860960006714,0.37,0.63,0.848,0.152,0.3887,0.6113,0.231,0.769,0.551,0.4495,0.961,0.03906,0.01033,0.9897,0.3276,0.6724,0.9355,0.06464,0.956,0.044
44.jpg,23.38355827331543,0.9164483547210693,0.291,0.709,0.905,0.09534,0.6895,0.3108,0.2043,0.796,0.396,0.604,0.9673,0.0326,0.011505,0.9883,0.5815,0.4187,0.994,0.006004,0.9683,0.03162
45.jpg,23.32254409790039,0.9272438883781433,0.263,0.7373,0.6724,0.3276,0.562,0.4377,0.1871,0.813,0.2338,0.766,0.9795,0.02034,0.05185,0.948,0.3276,0.6724,0.987,0.01302,0.9443,0.05582
46.jpg,22.791667938232422,0.9382407665252686,0.37,0.63,0.734,0.2659,0.4727,0.5273,0.2255,0.7744,0.725,0.2751,0.989,0.01116,0.01001,0.9897,0.4111,0.589,0.98,0.02002,0.9707,0.02931
47.jpg,18.86046600341797,0.7617692947387695,0.434,0.566,0.7188,0.2815,0.1666,0.8335,0.4766,0.5234,0.0927,0.907,0.967,0.03308,0.03021,0.9697,0.171,0.829,0.9805,0.01971,0.86,0.1404
48.jpg,21.80364227294922,0.9267138242721558,0.5273,0.4727,0.547,0.4534,0.508,0.4922,0.304,0.696,0.4302,0.57,0.965,0.03516,0.01616,0.984,0.648,0.3523,0.986,0.01428,0.938,0.0619
49.jpg,22.56309700012207,0.9185682535171509,0.5312,0.4688,0.5547,0.4456,0.725,0.2751,0.1824,0.8174,0.2394,0.7607,0.9336,0.0666,0.0716,0.928,0.596,0.4036,0.9844,0.01543,0.879,0.12085
50.jpg,22.9856014251709,0.8972803354263306,0.4036,0.596,0.899,0.1009,0.829,0.171,0.263,0.7373,0.728,0.272,0.9785,0.02129,0.09534,0.905,0.508,0.4922,0.9976,0.002472,0.9785,0.02129
51.jpg,22.740615844726562,0.8873506188392639,0.3242,0.676,0.86,0.1404,0.801,0.1993,0.2069,0.793,0.5,0.5,0.9917,0.008316,0.03677,0.9634,0.5776,0.4226,0.9985,0.001455,0.9795,0.02065
52.jpg,22.488332748413086,0.9231668710708618,0.915,0.0851,0.9326,0.06757,0.3276,0.6724,0.3074,0.693,0.7026,0.2974,0.97,0.02975,0.2598,0.74,0.0876,0.9126,0.9355,0.06464,0.874,0.126
53.jpg,20.32869529724121,0.8617507815361023,0.3242,0.676,0.6333,0.3667,0.6655,0.3345,0.1603,0.84,0.539,0.461,0.9775,0.02263,0.01343,0.9863,0.385,0.615,0.9966,0.00343,0.979,0.02097
54.jpg,25.25204086303711,0.9391247034072876,0.84,0.1603,0.9766,0.02333,0.6514,0.3486,0.6724,0.3276,0.734,0.2659,0.996,0.004005,0.0336,0.9663,0.0967,0.9033,0.9087,0.0914,0.893,0.1067
55.jpg,24.623783111572266,0.93947434425354,0.876,0.1242,0.956,0.044,0.655,0.3452,0.3594,0.6406,0.5737,0.4263,0.9785,0.02129,0.05032,0.9497,0.1225,0.8774,0.938,0.0619,0.9443,0.05582
56.jpg,24.882368087768555,0.9371820092201233,0.734,0.2659,0.9526,0.04742,0.78,0.22,0.585,0.4148,0.7827,0.2173,0.98,0.02002,0.0542,0.946,0.1366,0.8633,0.899,0.1009,0.953,0.04672
57.jpg,24.774534225463867,0.9355431199073792,0.848,0.152,0.951,0.04886,0.74,0.2598,0.655,0.3452,0.496,0.504,0.984,0.01616,0.04147,0.9585,0.1688,0.831,0.989,0.01116,0.9316,0.06854
58.jpg,23.839679718017578,0.9231294393539429,0.731,0.269,0.9673,0.0326,0.5117,0.4883,0.171,0.829,0.4226,0.5776,0.9517,0.04813,0.0534,0.947,0.1646,0.8354,0.9956,0.0044,0.956,0.044
59.jpg,23.952394485473633,0.9352642893791199,0.8267,0.1733,0.9683,0.03162,0.7124,0.2878,0.796,0.2043,0.7607,0.2394,0.9927,0.007347,0.02718,0.9727,0.231,0.769,0.9844,0.01543,0.766,0.2338
60.jpg,22.823396682739258,0.9271078109741211,0.881,0.1192,0.85,0.15,0.3008,0.699,0.535,0.4648,0.2173,0.7827,0.953,0.04672,0.03067,0.969,0.1277,0.8726,0.99,0.00956,0.658,0.3416
61.jpg,22.64432716369629,0.9189272522926331,0.9004,0.0995,0.9194,0.0804,0.589,0.4111,0.6226,0.3774,0.504,0.496,0.9956,0.004467,0.03067,0.969,0.1896,0.8105,0.973,0.02676,0.854,0.1461
62.jpg,23.48883819580078,0.9230567216873169,0.85,0.15,0.9365,0.0637,0.78,0.22,0.6,0.4,0.696,0.304,0.9946,0.005386,0.0534,0.947,0.2338,0.766,0.9937,0.006588,0.955,0.04468
63.jpg,23.912717819213867,0.9205024838447571,0.9263,0.07367,0.9443,0.05582,0.5547,0.4456,0.803,0.1968,0.865,0.1348,0.9985,0.001549,0.01099,0.989,0.1329,0.867,0.972,0.02802,0.9746,0.02556
64.jpg,22.914552688598633,0.9267666339874268,0.831,0.1688,0.9253,0.07477,0.543,0.457,0.743,0.2568,0.9004,0.0995,0.9863,0.01343,0.1993,0.801,0.2974,0.7026,0.953,0.04672,0.8267,0.1733
65.jpg,23.98912811279297,0.9210720062255859,0.978,0.02194,0.971,0.02887,0.2783,0.7217,0.785,0.2147,0.6226,0.3774,0.996,0.004135,0.03568,0.9644,0.1824,0.8174,0.994,0.006004,0.911,0.0888
66.jpg,24.645444869995117,0.9227046370506287,0.969,0.03067,0.921,0.0792,0.4417,0.558,0.5234,0.4766,0.4036,0.596,0.9956,0.0042,0.01322,0.987,0.1384,0.8613,0.987,0.01322,0.9434,0.05664
67.jpg,22.57375144958496,0.9268118143081665,0.831,0.1688,0.928,0.0716,0.3557,0.644,0.3242,0.676,0.785,0.2147,0.99,0.00986,0.08154,0.9185,0.05835,0.942,0.9517,0.04813,0.947,0.0534
68.jpg,22.030635833740234,0.9223792552947998,0.848,0.152,0.852,0.1481,0.3774,0.6226,0.09534,0.905,0.551,0.4495,0.981,0.01912,0.1461,0.854,0.1192,0.881,0.9194,0.0804,0.8335,0.1666
69.jpg,24.110595703125,0.9239351153373718,0.626,0.3738,0.937,0.0628,0.551,0.4495,0.385,0.615,0.551,0.4495,0.9683,0.03162,0.04272,0.9575,0.3416,0.658,0.9937,0.00639,0.937,0.0628
70.jpg,21.91385269165039,0.9174594879150391,0.803,0.1968,0.8857,0.1144,0.4805,0.5195,0.2974,0.7026,0.604,0.396,0.961,0.03906,0.5195,0.4805,0.1624,0.8374,0.9243,0.07587,0.752,0.248
71.jpg,21.391408920288086,0.9566998481750488,0.1824,0.8174,0.461,0.539,0.3345,0.6655,0.01343,0.9863,0.0981,0.902,0.94,0.0601,0.1919,0.808,0.1646,0.8354,0.9346,0.0656,0.758,0.2422
72.jpg,19.184467315673828,0.9228658676147461,0.626,0.3738,0.7026,0.2974,0.3345,0.6655,0.01883,0.981,0.1603,0.84,0.89,0.1097,0.4111,0.589,0.0542,0.946,0.895,0.1052,0.8823,0.11755
73.jpg,16.792123794555664,0.8102121353149414,0.755,0.2451,0.3242,0.676,0.2366,0.7637,0.0145,0.9854,0.0695,0.9307,0.5195,0.4805,0.1348,0.865,0.2751,0.725,0.9795,0.02065,0.905,0.09534
74.jpg,18.36311149597168,0.8803965449333191,0.848,0.152,0.2451,0.755,0.4072,0.593,0.2878,0.7124,0.248,0.752,0.7373,0.263,0.0876,0.9126,0.02263,0.9775,0.8823,0.11755,0.7637,0.2366
75.jpg,22.17520523071289,0.9516417980194092,0.15,0.85,0.4844,0.5156,0.7188,0.2815,0.291,0.709,0.1871,0.813,0.9497,0.05032,0.22,0.78,0.5,0.5,0.9946,0.005386,0.7637,0.2366
76.jpg,18.45310401916504,0.9320494532585144,0.4844,0.5156,0.4727,0.5273,0.126,0.874,0.01343,0.9863,0.0792,0.921,0.9844,0.01567,0.291,0.709,0.0804,0.9194,0.9185,0.08154,0.905,0.09534
77.jpg,19.68553924560547,0.8839511871337891,0.3276,0.6724,0.1294,0.8706,0.212,0.788,0.007694,0.992,0.0248,0.975,0.854,0.1461,0.78,0.22,0.637,0.363,0.996,0.00407,0.915,0.0851
78.jpg,15.859501838684082,0.8580226302146912,0.3345,0.6655,0.2422,0.758,0.05185,0.948,0.03568,0.9644,0.0851,0.915,0.975,0.0248,0.4226,0.5776,0.01854,0.9814,0.2147,0.785,0.923,0.07697
79.jpg,21.013479232788086,0.9101459383964539,0.22,0.78,0.4805,0.5195,0.4148,0.585,0.06854,0.9316,0.263,0.7373,0.902,0.0981,0.0901,0.9097,0.1082,0.8916,0.8774,0.1225,0.796,0.2043
80.jpg,23.80521583557129,0.9233528971672058,0.728,0.272,0.9365,0.0637,0.535,0.4648,0.4805,0.5195,0.4688,0.5312,0.97,0.02975,0.07587,0.9243,0.314,0.686,0.989,0.01133,0.9424,0.0575
81.jpg,19.8926944732666,0.9382165670394897,0.3242,0.676,0.331,0.669,0.2227,0.7773,0.02129,0.9785,0.0927,0.907,0.953,0.04672,0.3594,0.6406,0.4456,0.5547,0.9585,0.04147,0.801,0.1993
82.jpg,17.88125991821289,0.8423023819923401,0.1366,0.8633,0.2451,0.755,0.385,0.615,0.02065,0.9795,0.1023,0.8975,0.8706,0.1294,0.4534,0.547,0.1824,0.8174,0.983,0.01718,0.9097,0.0901
83.jpg,22.801925659179688,0.9357113242149353,0.496,0.504,0.749,0.251,0.4844,0.5156,0.05835,0.942,0.1277,0.8726,0.7217,0.2783,0.434,0.566,0.3074,0.693,0.8613,0.1384,0.8335,0.1666
84.jpg,19.8260498046875,0.866801917552948,0.8975,0.1023,0.699,0.3008,0.2451,0.755,0.0656,0.9346,0.1225,0.8774,0.4187,0.5815,0.971,0.02887,0.8613,0.1384,0.9966,0.003538,0.7744,0.2255
85.jpg,21.085403442382812,0.9214079976081848,0.4534,0.547,0.7217,0.2783,0.626,0.3738,0.11597,0.8843,0.1993,0.801,0.808,0.1919,0.3452,0.655,0.788,0.212,0.9873,0.012825,0.8857,0.1144
86.jpg,21.557621002197266,0.908066987991333,0.2974,0.7026,0.679,0.3208,0.7744,0.2255,0.04602,0.954,0.1755,0.824,0.895,0.1052,0.4036,0.596,0.2659,0.734,0.9087,0.0914,0.939,0.06097
87.jpg,20.73048210144043,0.9052711725234985,0.648,0.3523,0.094,0.906,0.1294,0.8706,0.01169,0.9883,0.03622,0.964,0.801,0.1993,0.1561,0.8438,0.3738,0.626,0.987,0.01302,0.728,0.272
88.jpg,24.020477294921875,0.949737012386322,0.749,0.251,0.8174,0.1824,0.63,0.37,0.0341,0.966,0.3738,0.626,0.9087,0.0914,0.07056,0.929,0.396,0.604,0.977,0.02298,0.7026,0.2974
89.jpg,20.878475189208984,0.904276967048645,0.2878,0.7124,0.4036,0.596,0.4187,0.5815,0.0619,0.938,0.1329,0.867,0.941,0.0592,0.1733,0.8267,0.2095,0.7905,0.9834,0.0164,0.8916,0.1082
90.jpg,21.764060974121094,0.9411123394966125,0.5234,0.4766,0.4883,0.5117,0.0967,0.9033,0.00433,0.9956,0.02065,0.9795,0.535,0.4648,0.669,0.331,0.1733,0.8267,0.976,0.02405,0.793,0.2069
91.jpg,23.651865005493164,0.9186816215515137,0.551,0.4495,0.9307,0.0695,0.4495,0.551,0.3416,0.658,0.644,0.3557,0.9854,0.01473,0.0792,0.921,0.2815,0.7188,0.9785,0.02129,0.9517,0.04813
92.jpg,21.198131561279297,0.930833637714386,0.4226,0.5776,0.504,0.496,0.171,0.829,0.02635,0.9736,0.0619,0.938,0.955,0.04468,0.8613,0.1384,0.02333,0.9766,0.947,0.0534,0.9326,0.06757
93.jpg,22.8267879486084,0.9523640871047974,0.152,0.848,0.504,0.496,0.4377,0.562,0.02443,0.9756,0.12085,0.879,0.954,0.04602,0.3594,0.6406,0.4495,0.551,0.9863,0.01385,0.746,0.254
94.jpg,25.409629821777344,0.9572517275810242,0.696,0.304,0.1603,0.84,0.07806,0.922,0.009415,0.9907,0.07477,0.9253,0.813,0.1871,0.1848,0.8154,0.02759,0.9727,0.74,0.2598,0.734,0.2659
95.jpg,24.296417236328125,0.9266208410263062,0.5737,0.4263,0.6113,0.3887,0.3416,0.658,0.1294,0.8706,0.3774,0.6226,0.9956,0.0044,0.3108,0.6895,0.0526,0.9473,0.9644,0.03568,0.9326,0.06757
96.jpg,24.5513973236084,0.9316385388374329,0.551,0.4495,0.679,0.3208,0.3486,0.6514,0.0901,0.9097,0.3174,0.6826,0.946,0.0542,0.04272,0.9575,0.1582,0.842,0.977,0.02298,0.84,0.1603
97.jpg,24.888029098510742,0.9147008061408997,0.363,0.637,0.2338,0.766,0.18,0.82,0.08386,0.916,0.1348,0.865,0.9727,0.02759,0.0827,0.9175,0.508,0.4922,0.9917,0.008064,0.551,0.4495
98.jpg,24.614898681640625,0.9353901743888855,0.8267,0.1733,0.2173,0.7827,0.1329,0.867,0.2173,0.7827,0.2095,0.7905,0.9546,0.04535,0.154,0.8457,0.725,0.2751,0.999,0.001017,0.8223,0.1779
99.jpg,24.48292350769043,0.9192031621932983,0.6333,0.3667,0.461,0.539,0.04535,0.9546,0.0656,0.9346,0.03964,0.9604,0.9185,0.08154,0.3557,0.644,0.5273,0.4727,0.9937,0.00649,0.6724,0.3276
100.jpg,26.083913803100586,0.9402693510055542,0.3074,0.693,0.752,0.248,0.434,0.566,0.0981,0.902,0.2018,0.7983,0.8975,0.1023,0.152,0.848,0.6406,0.3594,0.956,0.044,0.8057,0.1943
101.jpg,26.025249481201172,0.9370089173316956,0.508,0.4922,0.785,0.2147,0.637,0.363,0.01744,0.9824,0.12085,0.879,0.902,0.0981,0.2255,0.7744,0.4844,0.5156,0.983,0.01718,0.8706,0.1294
102.jpg,23.52251625061035,0.9195498824119568,0.37,0.63,0.941,0.0592,0.6187,0.381,0.3008,0.699,0.5776,0.4226,0.977,0.02298,0.0336,0.9663,0.2147,0.785,0.973,0.02676,0.9575,0.04272
103.jpg,24.797748565673828,0.9357188940048218,0.4226,0.5776,0.854,0.1461,0.7026,0.2974,0.0237,0.976,0.2451,0.755,0.939,0.06097,0.3523,0.648,0.2783,0.7217,0.9805,0.01942,0.881,0.1192
104.jpg,24.36780548095703,0.9370778203010559,0.808,0.1919,0.7607,0.2394,0.2568,0.743,0.0888,0.911,0.1968,0.803,0.9263,0.07367,0.1871,0.813,0.3381,0.662,0.976,0.0237,0.86,0.1404
105.jpg,24.84033966064453,0.9214164614677429,0.4495,0.551,0.2974,0.7026,0.1919,0.808,0.04147,0.9585,0.1646,0.8354,0.988,0.012054,0.10376,0.8965,0.4844,0.5156,0.9927,0.00746,0.7153,0.2847
106.jpg,25.93306541442871,0.945631206035614,0.4844,0.5156,0.7188,0.2815,0.676,0.3242,0.126,0.874,0.269,0.731,0.9746,0.02556,0.07697,0.923,0.6113,0.3887,0.9946,0.005302,0.74,0.2598
107.jpg,24.592864990234375,0.9474323987960815,0.854,0.1461,0.755,0.2451,0.5737,0.4263,0.1755,0.824,0.11597,0.8843,0.8057,0.1943,0.562,0.4377,0.2783,0.7217,0.9253,0.07477,0.916,0.08386
108.jpg,24.2318172454834,0.9436579942703247,0.7905,0.2095,0.785,0.2147,0.212,0.788,0.04337,0.9565,0.2338,0.766,0.9517,0.04813,0.2227,0.7773,0.2422,0.758,0.958,0.04208,0.801,0.1993
109.jpg,24.353853225708008,0.947880208492279,0.4648,0.535,0.604,0.396,0.1755,0.824,0.04208,0.958,0.3345,0.6655,0.852,0.1481,0.3416,0.658,0.6226,0.3774,0.9795,0.02065,0.6895,0.3108
110.jpg,25.017362594604492,0.9582615494728088,0.2095,0.7905,0.3923,0.6074,0.2568,0.743,0.01473,0.9854,0.1646,0.8354,0.9316,0.06854,0.2338,0.766,0.04468,0.955,0.7188,0.2815,0.7217,0.2783
111.jpg,25.205965042114258,0.9547148942947388,0.2847,0.7153,0.4922,0.508,0.2847,0.7153,0.0341,0.966,0.0851,0.915,0.9736,0.02635,0.251,0.749,0.385,0.615,0.948,0.05185,0.8374,0.1624
112.jpg,24.87410545349121,0.941133439540863,0.4805,0.5195,0.7217,0.2783,0.314,0.686,0.0526,0.9473,0.1919,0.808,0.8335,0.1666,0.3774,0.6226,0.4111,0.589,0.966,0.0341,0.7124,0.2878
113.jpg,15.222548484802246,0.8779968619346619,0.881,0.1192,0.962,0.0379,0.749,0.251,0.1067,0.893,0.04742,0.9526,0.937,0.0628,0.1312,0.8687,0.304,0.696,0.9087,0.0914,0.824,0.1755
114.jpg,23.75174903869629,0.9234100580215454,0.5195,0.4805,0.874,0.126,0.4688,0.5312,0.1646,0.8354,0.381,0.6187,0.9785,0.02162,0.03677,0.9634,0.314,0.686,0.989,0.01133,0.9585,0.04147
