image,psnr,ssim,Accurate Color Representation,Blue/Green Color Cast,Accurate and Natural Color Representation,"Inaccurate, Artifact and uncomfortable Color Cast","Harmonious, Suitable, and Aesthetically Pleasing Color Representation","Distorted, Unfitting, and Visually Displeasing Color Cast",Vibrant and vivid,Dull and washed-out,"Bright, Colorful Underwater Scene","Dim, Desaturated Underwater Colors",Crystal-clear and Unobstructed Scene,Murky and Obscured View,Balanced and Well-Lit view,Underlit scene and Backlit Objects,Richly detailed, Blurry and indistinct,Sharp Aquatic Details,Blurred Movement,Natural Ambient Light,Artificial Light
40.jpg,22.465476989746094,0.9177674651145935,0.4072,0.593,0.9873,0.01263,0.9033,0.0967,0.992,0.007694,0.9946,0.005386,0.987,0.01302,0.2751,0.725,0.551,0.4495,0.9614,0.03845,0.7983,0.2018
41.jpg,18.990238189697266,0.8020393252372742,0.1023,0.8975,0.813,0.1871,0.263,0.7373,0.385,0.615,0.4727,0.5273,0.854,0.1461,0.07367,0.9263,0.3276,0.6724,0.9883,0.011505,0.831,0.1688
42.jpg,18.877199172973633,0.8132325410842896,0.0637,0.9365,0.3667,0.6333,0.254,0.746,0.5815,0.4187,0.8613,0.1384,0.9585,0.04147,0.01049,0.9897,0.496,0.504,0.9707,0.02931,0.8823,0.11755
43.jpg,19.80287742614746,0.8274579644203186,0.0321,0.968,0.7827,0.2173,0.4111,0.589,0.6655,0.3345,0.879,0.12085,0.942,0.05835,0.01243,0.988,0.7188,0.2815,0.8726,0.1277,0.848,0.152
44.jpg,19.459348678588867,0.8233428001403809,0.231,0.769,0.856,0.1442,0.5547,0.4456,0.4805,0.5195,0.585,0.4148,0.8823,0.11755,0.0542,0.946,0.856,0.1442,0.997,0.002714,0.9316,0.06854
45.jpg,19.22548484802246,0.8399768471717834,0.1422,0.858,0.57,0.4302,0.4883,0.5117,0.2659,0.734,0.4456,0.5547,0.852,0.1481,0.18,0.82,0.6724,0.3276,0.9883,0.01169,0.916,0.08386
46.jpg,18.677249908447266,0.8373807668685913,0.508,0.4922,0.37,0.63,0.18,0.82,0.6,0.4,0.57,0.4302,0.796,0.2043,0.1294,0.8706,0.848,0.152,0.992,0.007694,0.8823,0.11755
47.jpg,19.724042892456055,0.7849246859550476,0.11755,0.8823,0.679,0.3208,0.11755,0.8823,0.6655,0.3345,0.4148,0.585,0.9683,0.03162,0.0159,0.984,0.3557,0.644,0.995,0.004982,0.766,0.2338
48.jpg,18.108829498291016,0.8044994473457336,0.1968,0.803,0.1422,0.858,0.2338,0.766,0.5195,0.4805,0.589,0.4111,0.96,0.04025,0.00899,0.991,0.731,0.269,0.9824,0.01744,0.8726,0.1277
49.jpg,18.71904945373535,0.8024493455886841,0.11755,0.8823,0.4148,0.585,0.461,0.539,0.3174,0.6826,0.686,0.314,0.84,0.1603,0.4,0.6,0.539,0.461,0.9565,0.04337,0.9033,0.0967
50.jpg,18.834299087524414,0.7774786353111267,0.0511,0.9487,0.7773,0.2227,0.769,0.231,0.5312,0.4688,0.9316,0.06854,0.9185,0.08154,0.1329,0.867,0.5815,0.4187,0.9927,0.00746,0.9707,0.02931
51.jpg,19.214101791381836,0.7633287906646729,0.0601,0.94,0.7905,0.2095,0.731,0.269,0.709,0.291,0.858,0.1422,0.9775,0.02263,0.1009,0.899,0.7153,0.2847,0.997,0.003172,0.976,0.0237
52.jpg,22.939117431640625,0.9245442152023315,0.4766,0.5234,0.9326,0.06757,0.4417,0.558,0.961,0.03906,0.991,0.008575,0.9863,0.01343,0.1461,0.854,0.3074,0.693,0.958,0.04208,0.8154,0.1848
53.jpg,17.78807830810547,0.7062188386917114,0.02802,0.972,0.4226,0.5776,0.5547,0.4456,0.3923,0.6074,0.84,0.1603,0.9365,0.0637,0.02556,0.9746,0.508,0.4922,0.9897,0.01017,0.966,0.0341
54.jpg,22.66822052001953,0.9125626683235168,0.658,0.3416,0.9863,0.01363,0.9263,0.07367,0.89,0.1097,0.982,0.01826,0.9917,0.008316,0.0496,0.95,0.1871,0.813,0.981,0.01883,0.9443,0.05582
55.jpg,23.401508331298828,0.9169263243675232,0.539,0.461,0.881,0.1192,0.752,0.248,0.8887,0.11127,0.8965,0.10376,0.974,0.02596,0.04272,0.9575,0.1848,0.8154,0.9473,0.0526,0.867,0.1329
56.jpg,23.114633560180664,0.9124118685722351,0.4883,0.5117,0.9863,0.01363,0.824,0.1755,0.9336,0.0666,0.9775,0.0223,0.989,0.01116,0.10376,0.8965,0.2147,0.785,0.9263,0.07367,0.941,0.0592
57.jpg,23.241008758544922,0.9081152081489563,0.4187,0.5815,0.9727,0.02718,0.78,0.22,0.929,0.07056,0.9346,0.0656,0.9653,0.0346,0.1144,0.8857,0.2422,0.758,0.9893,0.01082,0.8823,0.11755
58.jpg,24.7030029296875,0.9304144382476807,0.1896,0.8105,0.962,0.0379,0.766,0.2338,0.8706,0.1294,0.9683,0.03162,0.976,0.0237,0.0336,0.9663,0.3667,0.6333,0.97,0.02975,0.9355,0.06464
59.jpg,23.58103370666504,0.9053587913513184,0.3774,0.6226,0.975,0.0248,0.8633,0.1366,0.95,0.0496,0.983,0.01692,0.992,0.007935,0.0792,0.921,0.2147,0.785,0.981,0.01912,0.831,0.1688
60.jpg,23.719106674194336,0.9050678610801697,0.4072,0.593,0.902,0.0981,0.543,0.457,0.9873,0.012825,0.9663,0.0336,0.99,0.00971,0.03677,0.9634,0.504,0.496,0.984,0.0159,0.7827,0.2173
61.jpg,23.65086555480957,0.9002296924591064,0.4148,0.585,0.9307,0.0695,0.699,0.3008,0.9033,0.0967,0.959,0.04083,0.9976,0.00255,0.02596,0.974,0.2338,0.766,0.977,0.02298,0.881,0.1192
62.jpg,23.601112365722656,0.8986952304840088,0.37,0.63,0.9775,0.02263,0.867,0.1329,0.9307,0.0695,0.9863,0.01343,0.995,0.005062,0.02097,0.979,0.1666,0.8335,0.971,0.02887,0.928,0.0716
63.jpg,23.410022735595703,0.8927316069602966,0.5195,0.4805,0.965,0.03516,0.562,0.4377,0.9087,0.0914,0.981,0.01912,0.997,0.002981,0.02676,0.973,0.1848,0.8154,0.9673,0.0326,0.967,0.03308
64.jpg,23.824064254760742,0.9230465888977051,0.1404,0.86,0.9644,0.03568,0.788,0.212,0.9956,0.0044,0.999,0.00097,0.9976,0.00259,0.1481,0.852,0.5234,0.4766,0.956,0.044,0.858,0.1422
65.jpg,23.423608779907227,0.8920870423316956,0.5815,0.4187,0.9805,0.01942,0.4922,0.508,0.9497,0.05032,0.981,0.01912,0.996,0.003708,0.0619,0.938,0.3208,0.679,0.9883,0.01169,0.902,0.0981
66.jpg,22.848596572875977,0.8841530680656433,0.6895,0.3108,0.968,0.0321,0.4495,0.551,0.8687,0.1312,0.921,0.0792,0.9966,0.003376,0.02162,0.9785,0.2366,0.7637,0.982,0.01826,0.9253,0.07477
67.jpg,23.457975387573242,0.9261130094528198,0.3486,0.6514,0.9775,0.0223,0.693,0.3074,0.969,0.03067,0.9937,0.006588,0.9956,0.0042,0.07697,0.923,0.3345,0.6655,0.928,0.0716,0.9243,0.07587
68.jpg,23.324047088623047,0.9197350740432739,0.331,0.669,0.96,0.04025,0.539,0.461,0.874,0.126,0.9756,0.02443,0.9937,0.00619,0.1943,0.8057,0.4495,0.551,0.975,0.0248,0.725,0.2751
69.jpg,24.353540420532227,0.9265830516815186,0.2847,0.7153,0.9634,0.03677,0.7217,0.2783,0.7188,0.2815,0.852,0.1481,0.9355,0.06464,0.0863,0.9136,0.6724,0.3276,0.9873,0.012825,0.8174,0.1824
70.jpg,22.921344757080078,0.9165281057357788,0.2227,0.7773,0.954,0.04602,0.596,0.4036,0.966,0.0341,0.9766,0.02333,0.986,0.01428,0.396,0.604,0.291,0.709,0.945,0.055,0.766,0.2338
71.jpg,21.54588508605957,0.9115580320358276,0.07263,0.9272,0.6226,0.3774,0.457,0.543,0.1461,0.854,0.4,0.6,0.906,0.094,0.4,0.6,0.1009,0.899,0.746,0.254,0.6895,0.3108
72.jpg,20.752151489257812,0.8926663398742676,0.4688,0.5312,0.854,0.1461,0.1242,0.876,0.1242,0.876,0.5195,0.4805,0.7827,0.2173,0.655,0.3452,0.04025,0.96,0.8374,0.1624,0.8857,0.1144
73.jpg,17.43622589111328,0.7955384254455566,0.558,0.4417,0.758,0.2422,0.3452,0.655,0.1192,0.881,0.4111,0.589,0.604,0.396,0.2974,0.7026,0.07477,0.9253,0.968,0.0321,0.8887,0.11127
74.jpg,19.662004470825195,0.8739226460456848,0.3523,0.648,0.5195,0.4805,0.4417,0.558,0.8057,0.1943,0.801,0.1993,0.6655,0.3345,0.254,0.746,0.1384,0.8613,0.734,0.2659,0.686,0.314
75.jpg,23.502111434936523,0.9323771595954895,0.03732,0.963,0.2942,0.7056,0.4883,0.5117,0.331,0.669,0.4648,0.535,0.945,0.055,0.3594,0.6406,0.7773,0.2227,0.99,0.00971,0.7124,0.2878
76.jpg,18.729795455932617,0.9077243804931641,0.152,0.848,0.9546,0.04535,0.593,0.4072,0.615,0.385,0.8887,0.11127,0.9565,0.04337,0.743,0.2568,0.3174,0.6826,0.8633,0.1366,0.8633,0.1366
77.jpg,21.18456268310547,0.8931926488876343,0.212,0.788,0.5234,0.4766,0.5195,0.4805,0.1442,0.856,0.2847,0.7153,0.2847,0.7153,0.679,0.3208,0.699,0.3008,0.9956,0.004467,0.829,0.171
78.jpg,16.730472564697266,0.8395155072212219,0.2018,0.7983,0.589,0.4111,0.1422,0.858,0.381,0.6187,0.8457,0.154,0.964,0.03622,0.385,0.615,0.01473,0.9854,0.3923,0.6074,0.8706,0.1294
79.jpg,20.089330673217773,0.8469087481498718,0.152,0.848,0.2974,0.7026,0.3276,0.6724,0.2568,0.743,0.4111,0.589,0.907,0.0927,0.126,0.874,0.152,0.848,0.907,0.0927,0.8335,0.1666
80.jpg,24.58002471923828,0.9288104772567749,0.1824,0.8174,0.9766,0.02333,0.829,0.171,0.9497,0.05032,0.9897,0.01017,0.988,0.012054,0.03845,0.9614,0.539,0.461,0.9717,0.02844,0.9565,0.04337
81.jpg,21.81435775756836,0.9169050455093384,0.07367,0.9263,0.4111,0.589,0.1481,0.852,0.0863,0.9136,0.4302,0.57,0.907,0.0927,0.2451,0.755,0.535,0.4648,0.905,0.09534,0.4844,0.5156
82.jpg,19.058025360107422,0.8558034896850586,0.1561,0.8438,0.6895,0.3108,0.4072,0.593,0.1561,0.8438,0.4456,0.5547,0.728,0.272,0.6655,0.3345,0.06097,0.939,0.94,0.0601,0.939,0.06097
83.jpg,20.826231002807617,0.909112274646759,0.4377,0.562,0.709,0.291,0.2366,0.7637,0.1329,0.867,0.3923,0.6074,0.4844,0.5156,0.504,0.496,0.5273,0.4727,0.954,0.04602,0.8223,0.1779
84.jpg,22.0087890625,0.8710048794746399,0.662,0.3381,0.648,0.3523,0.2942,0.7056,0.251,0.749,0.272,0.728,0.2598,0.74,0.9517,0.04813,0.808,0.1919,0.9937,0.00619,0.854,0.1461
85.jpg,23.342540740966797,0.9195459485054016,0.1666,0.8335,0.4844,0.5156,0.558,0.4417,0.3108,0.6895,0.5,0.5,0.725,0.2751,0.693,0.3074,0.954,0.04602,0.994,0.005913,0.8223,0.1779
86.jpg,20.72766876220703,0.8426749110221863,0.1993,0.801,0.746,0.254,0.5737,0.4263,0.2147,0.785,0.4302,0.57,0.7607,0.2394,0.63,0.37,0.1225,0.8774,0.906,0.094,0.9355,0.06464
87.jpg,22.637767791748047,0.9019079804420471,0.4495,0.551,0.152,0.848,0.06464,0.9355,0.1603,0.84,0.171,0.829,0.6724,0.3276,0.2568,0.743,0.3923,0.6074,0.974,0.02596,0.7124,0.2878
88.jpg,21.8463191986084,0.9002151489257812,0.2069,0.793,0.887,0.1128,0.558,0.4417,0.1646,0.8354,0.6895,0.3108,0.9097,0.0901,0.2173,0.7827,0.291,0.709,0.959,0.04083,0.644,0.3557
89.jpg,22.685184478759766,0.9155076742172241,0.1384,0.8613,0.4648,0.535,0.3667,0.6333,0.1052,0.895,0.3108,0.6895,0.824,0.1755,0.3738,0.626,0.2847,0.7153,0.9653,0.0346,0.82,0.18
90.jpg,23.383773803710938,0.9311638474464417,0.2338,0.766,0.3887,0.6113,0.1561,0.8438,0.02333,0.9766,0.1919,0.808,0.731,0.269,0.6655,0.3345,0.4,0.6,0.983,0.01718,0.803,0.1968
91.jpg,24.433359146118164,0.9304325580596924,0.1848,0.8154,0.981,0.01883,0.8354,0.1646,0.9263,0.07367,0.994,0.006004,0.989,0.01116,0.0237,0.976,0.6,0.4,0.9756,0.02443,0.954,0.04602
92.jpg,23.509708404541016,0.9290553331375122,0.08154,0.9185,0.5737,0.4263,0.2451,0.755,0.0637,0.9365,0.3345,0.6655,0.9653,0.0346,0.8374,0.1624,0.04602,0.954,0.8105,0.1896,0.8965,0.10376
93.jpg,25.21525001525879,0.9402535557746887,0.04208,0.958,0.263,0.7373,0.2069,0.793,0.251,0.749,0.5737,0.4263,0.948,0.05185,0.1329,0.867,0.6826,0.3174,0.984,0.01616,0.604,0.396
94.jpg,22.38268280029297,0.9217215180397034,0.4036,0.596,0.0804,0.9194,0.0656,0.9346,0.0223,0.9775,0.1871,0.813,0.7637,0.2366,0.1871,0.813,0.0542,0.946,0.8438,0.1561,0.589,0.4111
95.jpg,25.280303955078125,0.9431191086769104,0.4226,0.5776,0.6074,0.3923,0.3594,0.6406,0.7607,0.2394,0.907,0.0927,0.9355,0.06464,0.2394,0.7607,0.0888,0.911,0.921,0.0792,0.842,0.1582
96.jpg,24.85466194152832,0.9326804280281067,0.0995,0.9004,0.86,0.1404,0.725,0.2751,0.929,0.07056,0.976,0.0237,0.9575,0.04272,0.03845,0.9614,0.709,0.291,0.97,0.02975,0.676,0.3242
97.jpg,19.864662170410156,0.8911100029945374,0.1603,0.84,0.1624,0.8374,0.272,0.728,0.5195,0.4805,0.558,0.4417,0.983,0.01718,0.04535,0.9546,0.655,0.3452,0.981,0.01912,0.496,0.504
98.jpg,20.20774269104004,0.9214195013046265,0.2366,0.7637,0.4648,0.535,0.434,0.566,0.772,0.2281,0.829,0.171,0.9263,0.07367,0.0346,0.9653,0.7637,0.2366,0.9966,0.003223,0.7124,0.2878
99.jpg,19.828462600708008,0.9006681442260742,0.1277,0.8726,0.314,0.686,0.1294,0.8706,0.693,0.3074,0.669,0.331,0.922,0.07806,0.0876,0.9126,0.7026,0.2974,0.9863,0.01363,0.626,0.3738
100.jpg,24.2368106842041,0.9419642686843872,0.3486,0.6514,0.954,0.04602,0.5737,0.4263,0.5273,0.4727,0.78,0.22,0.852,0.1481,0.231,0.769,0.709,0.291,0.9917,0.008316,0.8174,0.1824
101.jpg,24.828777313232422,0.9394168257713318,0.04272,0.9575,0.876,0.1242,0.769,0.231,0.4727,0.5273,0.876,0.1242,0.709,0.291,0.0995,0.9004,0.5117,0.4883,0.9175,0.0827,0.5776,0.4226
102.jpg,24.499134063720703,0.9261414408683777,0.0666,0.9336,0.9097,0.0901,0.6406,0.3594,0.637,0.363,0.9697,0.03021,0.9937,0.00639,0.01133,0.989,0.4072,0.593,0.971,0.02887,0.9355,0.06464
103.jpg,25.42436981201172,0.9398941993713379,0.07477,0.9253,0.854,0.1461,0.6655,0.3345,0.585,0.4148,0.895,0.1052,0.911,0.0888,0.0619,0.938,0.3416,0.658,0.928,0.0716,0.6226,0.3774
104.jpg,24.931245803833008,0.9344969987869263,0.0666,0.9336,0.7607,0.2394,0.57,0.4302,0.6724,0.3276,0.8223,0.1779,0.971,0.02887,0.1481,0.852,0.7983,0.2018,0.981,0.01883,0.535,0.4648
105.jpg,24.719707489013672,0.9172983169555664,0.04742,0.9526,0.596,0.4036,0.539,0.461,0.3242,0.676,0.566,0.434,0.977,0.02298,0.04535,0.9546,0.4922,0.508,0.9907,0.009415,0.543,0.457
106.jpg,24.525489807128906,0.9465060830116272,0.2942,0.7056,0.9033,0.0967,0.848,0.152,0.6187,0.381,0.902,0.0981,0.9697,0.03021,0.07056,0.929,0.699,0.3008,0.991,0.008575,0.658,0.3416
107.jpg,25.728530883789062,0.9540996551513672,0.4688,0.5312,0.731,0.269,0.615,0.385,0.644,0.3557,0.566,0.434,0.8267,0.1733,0.231,0.769,0.4534,0.547,0.899,0.1009,0.7827,0.2173
108.jpg,25.855693817138672,0.9483968019485474,0.2147,0.785,0.8706,0.1294,0.6826,0.3174,0.37,0.63,0.7124,0.2878,0.867,0.1329,0.08154,0.9185,0.3381,0.662,0.9604,0.03964,0.686,0.314
109.jpg,26.217754364013672,0.9542650580406189,0.126,0.874,0.8916,0.1082,0.63,0.37,0.3738,0.626,0.8857,0.1144,0.78,0.22,0.1824,0.8174,0.589,0.4111,0.9795,0.02065,0.558,0.4417
110.jpg,25.302024841308594,0.9505447149276733,0.1144,0.8857,0.728,0.272,0.4036,0.596,0.2147,0.785,0.626,0.3738,0.887,0.1128,0.1348,0.865,0.0888,0.911,0.655,0.3452,0.7217,0.2783
111.jpg,21.681882858276367,0.9313493967056274,0.1329,0.867,0.8774,0.1225,0.562,0.4377,0.637,0.363,0.758,0.2422,0.905,0.09534,0.4456,0.5547,0.808,0.1919,0.9844,0.01567,0.7188,0.2815
112.jpg,25.72096824645996,0.9528098702430725,0.07477,0.9253,0.74,0.2598,0.331,0.669,0.551,0.4495,0.895,0.1052,0.973,0.02676,0.02298,0.977,0.2783,0.7217,0.9443,0.05582,0.4844,0.5156
113.jpg,15.230077743530273,0.8443636894226074,0.539,0.461,0.976,0.0237,0.9087,0.0914,0.788,0.212,0.6514,0.3486,0.9175,0.0827,0.171,0.829,0.731,0.269,0.9805,0.01942,0.831,0.1688
114.jpg,24.543888092041016,0.9301409721374512,0.2018,0.7983,0.9443,0.05582,0.6514,0.3486,0.686,0.314,0.94,0.0601,0.9653,0.0346,0.02097,0.979,0.6,0.4,0.9893,0.01065,0.923,0.07697
